,taxonUUID,tfNameCode,taxonRank,scientificName,TT_speciesKey
2560,88a7facc-492e-457e-98c7-73ce5329017e,C303120000000000000000000000000000000,kingdom,Plantae,Plantae
2564,28731836-31a0-45ee-a2a3-c141f6c9698b,C303120300000000000000000000000000000,subkingdom,Viridiplantae,Plantae-Viridiplantae
2565,84d66a1e-e183-4a24-9764-62ad5c87ee24,C303120302000000000000000000000000000,superphylum,Chlorophytes,Plantae-Viridiplantae-Chlorophytes
2566,0ea931ec-3d72-4ea9-9848-f42a1f973bef,C303120303000000000000000000000000000,superphylum,Streptophyta,Plantae-Viridiplantae-Streptophyta
2567,8973cf04-1c50-4e7f-9536-08fbdf4d101e,C303120303050000000000000000000000000,phylum,Embryophyta,Plantae-Viridiplantae-Streptophyta-Embryophyta
2568,a058395d-ef45-4ba9-8944-e5796de70d58,C303120303050400000000000000000000000,subphylum,Tracheophytina,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina
2569,66d71e3a-fdee-41c1-9d86-1eaed0814d8a,C303120303050401000000000000000000000,superclass,Lycophytes,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Lycophytes
2570,4660d8c7-a841-4c28-924a-873b42df4c96,C303120303050402000000000000000000000,superclass,Euphyllophytes,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes
2571,13ec219d-d34f-4654-9bd4-a1c151a12ba2,C303120303050401010000000000000000000,class,Lycopodiopsida,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Lycophytes-Lycopodiopsida
2572,98b9a434-cbbf-4a74-9806-c0213bb4174b,C303120303050401020000000000000000000,class,Isoetopsida,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Lycophytes-Isoetopsida
2573,1d77bcab-859b-482c-bf8e-054c4e432060,C303120303050402010000000000000000000,class,Equisetopsida,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Equisetopsida
2574,da05bb3c-78cd-40ab-9742-701cb694f50d,C303120303050402020000000000000000000,class,Psilotopsida,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Psilotopsida
2575,734b9beb-f241-4b6b-b450-778beee26c52,C303120303050402030000000000000000000,class,Marattiopsida,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Marattiopsida
2576,7506c430-f88b-40e2-b4ad-22f068eb4bac,C303120303050402040000000000000000000,class,Polypodiopsida,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Polypodiopsida
2577,08da3c0e-e153-4090-b3d7-e3cfaf74bbcb,C303120303050402050000000000000000000,class,Spermatopsida,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida
2578,84909b46-ad27-4df3-8a4a-f8892cba0249,C303120303050401010100000000000000000,subclass,Lycopodiidae,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Lycophytes-Lycopodiopsida-Lycopodiidae
2579,d71da4b4-6d1d-4c3f-b28b-3f2f6e7eb039,C303120303050401020100000000000000000,subclass,Isoetidae,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Lycophytes-Isoetopsida-Isoetidae
2580,115c994a-a773-4653-a20e-b064f20a0b7a,C303120303050402010100000000000000000,subclass,Equisetidae,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Equisetopsida-Equisetidae
2581,d419e737-9e98-443d-877f-f3d5e09b9cf3,C303120303050402020100000000000000000,subclass,Psilotidae,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Psilotopsida-Psilotidae
2582,c85b5302-26d6-4fdd-be70-b3e39fc1c417,C303120303050402020200000000000000000,subclass,Ophioglossidae,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Psilotopsida-Ophioglossidae
2583,d50dbbf3-4cb7-4889-bdf9-90c60ae897e9,C303120303050402030100000000000000000,subclass,Marattiidae,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Marattiopsida-Marattiidae
2584,c7d4eb88-734f-4150-a0c5-c7637846e13c,C303120303050402040100000000000000000,subclass,Polypodiidae,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Polypodiopsida-Polypodiidae
2585,d2ad637f-e94e-492c-856e-0e2693e4271f,C303120303050402050100000000000000000,subclass,Cycadidae,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Cycadidae
2586,9f55a90a-7528-4b3a-94f0-e07a34fec72d,C303120303050402050200000000000000000,subclass,Ginkgoidae,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Ginkgoidae
2587,450e1089-93fd-41ad-8627-8024da76405e,C303120303050402050300000000000000000,subclass,Gnetidae,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Gnetidae
2588,a8448c61-a5ee-42d3-8706-88daa80cf53b,C303120303050402050400000000000000000,subclass,Pinidae,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Pinidae
2589,916ec491-de5c-4521-9eba-a1a0ae97e181,C303120303050402050500000000000000000,subclass,Magnoliidae,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae
2590,284a09f0-2d6d-450b-a269-e18b8815aa8c,C303120303050401010101000000000000000,order,Lycopodiales,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Lycophytes-Lycopodiopsida-Lycopodiidae-Lycopodiales
2591,a244ee2a-67fc-4dd7-9894-e13c1f7e1a53,C303120303050401020101000000000000000,order,Isoetales,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Lycophytes-Isoetopsida-Isoetidae-Isoetales
2592,70052e1f-067a-4f90-a973-ad99e6b91f1d,C303120303050401020102000000000000000,order,Selaginellales,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Lycophytes-Isoetopsida-Isoetidae-Selaginellales
2593,896ce120-0349-431b-a4c9-53075d9241fb,C303120303050402010101000000000000000,order,Equisetales,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Equisetopsida-Equisetidae-Equisetales
2594,7ffefccc-720a-4776-a25d-a97d52f168cf,C303120303050402020101000000000000000,order,Psilotales,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Psilotopsida-Psilotidae-Psilotales
2595,438b081e-001b-474e-814f-74eff4106749,C303120303050402020201000000000000000,order,Ophioglossales,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Psilotopsida-Ophioglossidae-Ophioglossales
2596,448b2eba-4c51-41dd-97d6-a4d109890624,C303120303050402030101000000000000000,order,Marattiales,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Marattiopsida-Marattiidae-Marattiales
2597,3a767b09-9bbf-44e4-84c4-8e73a02ffb73,C303120303050402040101000000000000000,order,Osmundales,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Polypodiopsida-Polypodiidae-Osmundales
2598,b64bc07e-4037-4a6d-a9bb-41f359b59050,C303120303050402040102000000000000000,order,Hymenophyllales,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Polypodiopsida-Polypodiidae-Hymenophyllales
2599,49985cdc-2b71-480f-84ab-c22bca7a008c,C303120303050402040103000000000000000,order,Gleicheniales,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Polypodiopsida-Polypodiidae-Gleicheniales
2600,979fc9c0-9cdb-4f3d-b4a1-e4b5d0e93532,C303120303050402040104000000000000000,order,Schizaeales,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Polypodiopsida-Polypodiidae-Schizaeales
2601,ebc168eb-1458-4dc6-89d3-86483e920f30,C303120303050402040105000000000000000,order,Salviniales,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Polypodiopsida-Polypodiidae-Salviniales
2602,832ddc55-1c67-4c46-86f3-e7b69ee555e6,C303120303050402040106000000000000000,order,Cyatheales,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Polypodiopsida-Polypodiidae-Cyatheales
2603,5d8d86db-1ebc-49db-95d6-545d674399c2,C303120303050402040107000000000000000,order,Polypodiales,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Polypodiopsida-Polypodiidae-Polypodiales
2604,a6fd1d66-44e8-465f-9b6e-b0ffdc744f30,C303120303050402050101000000000000000,order,Cycadales,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Cycadidae-Cycadales
2605,1f4e67b4-f0f1-4f36-a46e-0a3af8ce2304,C303120303050402050201000000000000000,order,Ginkgoales,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Ginkgoidae-Ginkgoales
2606,b65e5700-b03e-404b-a8ca-baddd53067d2,C303120303050402050301000000000000000,order,Welwitschiales,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Gnetidae-Welwitschiales
2607,d4538179-8c94-463b-9738-58a22848edf1,C303120303050402050302000000000000000,order,Gnetales,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Gnetidae-Gnetales
2608,310e40e5-c407-40b5-9a2b-8dbeeac7d393,C303120303050402050303000000000000000,order,Ephedrales,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Gnetidae-Ephedrales
