,taxonUUID,tfNameCode,taxonRank,scientificName,TT_speciesKey
2560,88a7facc-492e-457e-98c7-73ce5329017e,C303120000000000000000000000000000000,kingdom,Plantae,Plantae-Plantae
2564,28731836-31a0-45ee-a2a3-c141f6c9698b,C303120300000000000000000000000000000,subkingdom,Viridiplantae,Plantae-Viridiplantae-Viridiplantae
2565,84d66a1e-e183-4a24-9764-62ad5c87ee24,C303120302000000000000000000000000000,superphylum,Chlorophytes,Plantae-Viridiplantae-Chlorophytes-Chlorophytes
2566,0ea931ec-3d72-4ea9-9848-f42a1f973bef,C303120303000000000000000000000000000,superphylum,Streptophyta,Plantae-Viridiplantae-Streptophyta-Streptophyta
2567,8973cf04-1c50-4e7f-9536-08fbdf4d101e,C303120303050000000000000000000000000,phylum,Embryophyta,Plantae-Viridiplantae-Streptophyta-Embryophyta-Embryophyta
2568,a058395d-ef45-4ba9-8944-e5796de70d58,C303120303050400000000000000000000000,subphylum,Tracheophytina,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Tracheophytina
2569,66d71e3a-fdee-41c1-9d86-1eaed0814d8a,C303120303050401000000000000000000000,superclass,Lycophytes,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Lycophytes-Lycophytes
2570,4660d8c7-a841-4c28-924a-873b42df4c96,C303120303050402000000000000000000000,superclass,Euphyllophytes,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Euphyllophytes
2571,13ec219d-d34f-4654-9bd4-a1c151a12ba2,C303120303050401010000000000000000000,class,Lycopodiopsida,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Lycophytes-Lycopodiopsida-Lycopodiopsida
2572,98b9a434-cbbf-4a74-9806-c0213bb4174b,C303120303050401020000000000000000000,class,Isoetopsida,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Lycophytes-Isoetopsida-Isoetopsida
2573,1d77bcab-859b-482c-bf8e-054c4e432060,C303120303050402010000000000000000000,class,Equisetopsida,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Equisetopsida-Equisetopsida
