taxon_id,rank,parent_taxon_id,simple_name,alien_type,is_in_taiwan,protected,redlist,iucn,sensitive,groupID,reason,check_column,TC_URL
t0053978,Species,t0024041,Hylodesmum podocarpum,native,TRUE,"",LC,"","",t0053978,國內紅皮書不同,redlist,https://taicol.tw/zh-hant/taxon/t0053978
t0058043,Subspecies,t0053978,Hylodesmum podocarpum subsp. oxyphyllum,native,TRUE,"",LC,"","",t0053978,國內紅皮書不同,redlist,https://taicol.tw/zh-hant/taxon/t0058043
t0102103,Subspecies,t0053978,Hylodesmum podocarpum subsp. podocarpum,native,TRUE,"",VU,"",輕度,t0053978,國內紅皮書不同,redlist,https://taicol.tw/zh-hant/taxon/t0102103
t0054212,Species,t0095805,Diplachne fusca,native,TRUE,"",LC,LC,"",t0054212,國內紅皮書不同,redlist,https://taicol.tw/zh-hant/taxon/t0054212
t0054213,Subspecies,t0054212,Leptochloa fusca subsp. fascicularis,naturalized,TRUE,"",,LC,"",t0054212,國內紅皮書不同,redlist,https://taicol.tw/zh-hant/taxon/t0054213
t0054214,Subspecies,t0054212,Leptochloa fusca subsp. uninervia,naturalized,TRUE,"",,"","",t0054212,國內紅皮書不同,redlist,https://taicol.tw/zh-hant/taxon/t0054214
t0054212,Species,t0095805,Diplachne fusca,native,TRUE,"",LC,LC,"",t0054212,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0054212
t0054213,Subspecies,t0054212,Leptochloa fusca subsp. fascicularis,naturalized,TRUE,"",,LC,"",t0054212,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0054213
t0054214,Subspecies,t0054212,Leptochloa fusca subsp. uninervia,naturalized,TRUE,"",,"","",t0054212,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0054214
t0028581,Subspecies,t0056757,Ypthima esakii wangi,native,TRUE,"","","","",t0056757,國內紅皮書不同,redlist,https://taicol.tw/zh-hant/taxon/t0028581
t0056757,Species,t0018292,Ypthima esakii,native,TRUE,"",LC,"","",t0056757,國內紅皮書不同,redlist,https://taicol.tw/zh-hant/taxon/t0056757
t0101004,Subspecies,t0056757,Ypthima esakii esakii,native,TRUE,"",LC,"","",t0056757,國內紅皮書不同,redlist,https://taicol.tw/zh-hant/taxon/t0101004
t0058272,Species,t0024851,Sorghum bicolor,naturalized,TRUE,"",,LC,"",t0058272,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0058272
t0058273,Subspecies,t0058272,Sorghum bicolor subsp. bicolor,naturalized,TRUE,"",,"","",t0058272,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0058273
t0084634,Subspecies,t0058272,Sorghum bicolor subsp. arundinaceum,naturalized,TRUE,"",,"","",t0058272,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0084634
t0060935,Species,t0023161,Amphicarpaea bracteata,native,TRUE,"",LC,"","",t0060935,國內紅皮書不同,redlist,https://taicol.tw/zh-hant/taxon/t0060935
t0103605,Subspecies,t0060935,Amphicarpaea bracteata subsp. edgeworthii,"",TRUE,"","","","",t0060935,國內紅皮書不同,redlist,https://taicol.tw/zh-hant/taxon/t0103605
t0057745,Subspecies,t0061031,Arenaria interpres interpres,native,TRUE,"",NT,"","",t0061031,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0057745
t0061031,Species,t0010303,Arenaria interpres,native,TRUE,"",NT,NT,"",t0061031,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0061031
t0063854,Species,t0019818,Ficedula strophiata,native,TRUE,"","",LC,"",t0063854,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0063854
t0101076,Subspecies,t0063854,Ficedula strophiata strophiata,native,TRUE,"","","","",t0063854,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0101076
t0064084,Species,t0019927,Fulmarus glacialis,native,TRUE,"","",LC,"",t0064084,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0064084
t0101077,Subspecies,t0064084,Fulmarus glacialis rodgersii,native,TRUE,"","","","",t0064084,IUCN紅皮書不同,iucn,https://taicol.tw/zh-hant/taxon/t0101077
