taxonUUID,taxonRank,kingdom,simplifiedScientificName,scientificName,authorshipCheck,is_dup_global,is_dup_kingdom,is_dup_kingdom_author,is_dup_kingdom_author_rank,reason,number_of_occurrence,TT_URL
22e4a532-0df1-4099-89b8-c19aed9d59db,genus,Fungi,Lactarius,<i>Lactarius</i>,"",TRUE,FALSE,FALSE,FALSE,學名重複,96,https://taxatree.tbn.org.tw/taxa/22e4a532-0df1-4099-89b8-c19aed9d59db
2e7dc2ac-65d4-4376-b5df-17168aa8b507,genus,Fungi,Galera,<i>Galera</i>,"",TRUE,FALSE,FALSE,FALSE,學名重複,0,https://taxatree.tbn.org.tw/taxa/2e7dc2ac-65d4-4376-b5df-17168aa8b507
78dd11b2-0d00-4042-a026-01d4d95a2337,genus,Fungi,Empusa,<i>Empusa</i>,"",TRUE,FALSE,FALSE,FALSE,學名重複,0,https://taxatree.tbn.org.tw/taxa/78dd11b2-0d00-4042-a026-01d4d95a2337
c5240f80-353d-4af8-a643-d9bfe728bd6d,genus,Fungi,Stenella,<i>Stenella</i>,"",TRUE,FALSE,FALSE,FALSE,學名重複,6,https://taxatree.tbn.org.tw/taxa/c5240f80-353d-4af8-a643-d9bfe728bd6d
7bdc16af-01a4-41ad-ba41-61f1839be722,genus,Fungi,Graphium,<i>Graphium</i>,"",TRUE,FALSE,FALSE,FALSE,學名重複,17,https://taxatree.tbn.org.tw/taxa/7bdc16af-01a4-41ad-ba41-61f1839be722
951152dd-d47c-4d57-be62-fe409daa912f,genus,Animalia,Rhytisma,<i>Rhytisma</i>,"",TRUE,FALSE,FALSE,FALSE,學名重複,44,https://taxatree.tbn.org.tw/taxa/951152dd-d47c-4d57-be62-fe409daa912f
e6134be1-3ee9-4cd7-aa74-8b5fe85dfa6b,genus,Protozoa,Platypleura,<i>Platypleura</i>,"",TRUE,FALSE,FALSE,FALSE,學名重複,0,https://taxatree.tbn.org.tw/taxa/e6134be1-3ee9-4cd7-aa74-8b5fe85dfa6b
3dac74c4-6ee5-4ee2-89ea-f456295a3f33,genus,Animalia,Lactarius,<i>Lactarius</i>,"",TRUE,FALSE,FALSE,FALSE,學名重複,1,https://taxatree.tbn.org.tw/taxa/3dac74c4-6ee5-4ee2-89ea-f456295a3f33
77492479-c45b-46d6-a0d3-796e32b00be7,genus,Fungi,Enteropogon,<i>Enteropogon</i>,"",TRUE,FALSE,FALSE,FALSE,學名重複,0,https://taxatree.tbn.org.tw/taxa/77492479-c45b-46d6-a0d3-796e32b00be7
6daf9e33-3952-43d5-9ba8-9f6f48b2e9c2,genus,Animalia,Linaria,<i>Linaria</i>,"",TRUE,FALSE,FALSE,FALSE,學名重複,58,https://taxatree.tbn.org.tw/taxa/6daf9e33-3952-43d5-9ba8-9f6f48b2e9c2
