taxonUUID,taxonRank,parentUUID,simplifiedScientificName,kingdom,class,number_of_occurrence,TT_URL
a9654c79-e898-4911-a36e-df64ed4fd489,family,e27fd325-f7c5-480f-8c01-63107b0ac9e7,Canellaceae,Plantae,Spermatopsida,0,https://taxatree.tbn.org.tw/taxa/a9654c79-e898-4911-a36e-df64ed4fd489
bb44dd13-4329-4ae5-b59a-8c753da720c4,family,48db819a-2bfd-4d33-9abf-6a8971f811dc,Degeneriaceae,Plantae,Spermatopsida,0,https://taxatree.tbn.org.tw/taxa/bb44dd13-4329-4ae5-b59a-8c753da720c4
d3d0bf01-ec00-4fed-8422-0d5583d981b7,family,48db819a-2bfd-4d33-9abf-6a8971f811dc,Himantandraceae,Plantae,Spermatopsida,0,https://taxatree.tbn.org.tw/taxa/d3d0bf01-ec00-4fed-8422-0d5583d981b7
ed7397d3-3814-4302-9047-8afbd58756d7,family,48db819a-2bfd-4d33-9abf-6a8971f811dc,Eupomatiaceae,Plantae,Spermatopsida,0,https://taxatree.tbn.org.tw/taxa/ed7397d3-3814-4302-9047-8afbd58756d7
7dc5dfc8-790d-4cb7-96ac-f85e4cda9f7b,family,e1dea8c1-b90e-4c04-b122-0679cab20357,Calycanthaceae,Plantae,Spermatopsida,2,https://taxatree.tbn.org.tw/taxa/7dc5dfc8-790d-4cb7-96ac-f85e4cda9f7b
07cee870-724b-4612-876d-df1610a98c79,family,e1dea8c1-b90e-4c04-b122-0679cab20357,Siparunaceae,Plantae,Spermatopsida,0,https://taxatree.tbn.org.tw/taxa/07cee870-724b-4612-876d-df1610a98c79
87f0b3ec-44f1-44ae-b35b-6dc2da6c93d9,family,e1dea8c1-b90e-4c04-b122-0679cab20357,Gomortegaceae,Plantae,Spermatopsida,0,https://taxatree.tbn.org.tw/taxa/87f0b3ec-44f1-44ae-b35b-6dc2da6c93d9
0f078ba1-ac15-4a4c-b31b-bd088c76503f,family,e1dea8c1-b90e-4c04-b122-0679cab20357,Atherospermataceae,Plantae,Spermatopsida,0,https://taxatree.tbn.org.tw/taxa/0f078ba1-ac15-4a4c-b31b-bd088c76503f
629fc867-2a31-4b79-a6c6-16555125ff30,family,e1dea8c1-b90e-4c04-b122-0679cab20357,Monimiaceae,Plantae,Spermatopsida,0,https://taxatree.tbn.org.tw/taxa/629fc867-2a31-4b79-a6c6-16555125ff30
f0121175-fa2e-458e-81ff-d9072e04ab3b,family,870e1747-e887-4b0a-a854-6f846113ff1f,Tofieldiaceae,Plantae,Spermatopsida,0,https://taxatree.tbn.org.tw/taxa/f0121175-fa2e-458e-81ff-d9072e04ab3b
