taxonUUID,taxonRank,parentUUID,kingdom,simplifiedScientificName,nativeness,protectedStatusTW,categoryRedlistTW,categoryIUCN,groupID,reason,check_column,filtered_values,number_of_occurrence,TT_URL
968786d0-f30d-4963-8a2b-543ac4a68105,infraspecies,1f9ff515-fe96-4d7c-bd37-9a3d7b89714d,Plantae,Aconitum fukutomei fukutomei,原生 Native,"","接近受脅（NT, Near Threatened）","",1f9ff515-fe96-4d7c-bd37-9a3d7b89714d,國內紅皮書不同,categoryRedlistTW,"接近受脅（NT, Near Threatened）;易危（VU, Vulnerable）",73,https://taxatree.tbn.org.tw/taxa/968786d0-f30d-4963-8a2b-543ac4a68105
f6bca131-1bf6-48b3-8a7e-fc0a8f2d7f09,infraspecies,1f9ff515-fe96-4d7c-bd37-9a3d7b89714d,Plantae,Aconitum fukutomei formosanum,原生 Native,"","易危（VU, Vulnerable）","",1f9ff515-fe96-4d7c-bd37-9a3d7b89714d,國內紅皮書不同,categoryRedlistTW,"接近受脅（NT, Near Threatened）;易危（VU, Vulnerable）",55,https://taxatree.tbn.org.tw/taxa/f6bca131-1bf6-48b3-8a7e-fc0a8f2d7f09
28492608-1d73-454c-9b20-30f595be82fa,species,bf988b38-f9bf-4b34-a681-61c9561030dd,Plantae,Shortia rotundifolia,原生 Native,"","","",28492608-1d73-454c-9b20-30f595be82fa,國內紅皮書不同,categoryRedlistTW,"資料缺乏（DD, Data Deficient）;接近受脅（NT, Near Threatened）",744,https://taxatree.tbn.org.tw/taxa/28492608-1d73-454c-9b20-30f595be82fa
db846ca0-56a9-4d96-9a9f-381dfe722420,infraspecies,28492608-1d73-454c-9b20-30f595be82fa,Plantae,Shortia rotundifolia rotundifolia,原生 Native,"","資料缺乏（DD, Data Deficient）","",28492608-1d73-454c-9b20-30f595be82fa,國內紅皮書不同,categoryRedlistTW,"資料缺乏（DD, Data Deficient）;接近受脅（NT, Near Threatened）",132,https://taxatree.tbn.org.tw/taxa/db846ca0-56a9-4d96-9a9f-381dfe722420
5b9422d2-6358-4ca4-98be-e7beb0340c50,infraspecies,28492608-1d73-454c-9b20-30f595be82fa,Plantae,Shortia rotundifolia ritoensis,原生 Native,"","資料缺乏（DD, Data Deficient）","",28492608-1d73-454c-9b20-30f595be82fa,國內紅皮書不同,categoryRedlistTW,"資料缺乏（DD, Data Deficient）;接近受脅（NT, Near Threatened）",9,https://taxatree.tbn.org.tw/taxa/5b9422d2-6358-4ca4-98be-e7beb0340c50
d6dc5ca6-7ac1-499c-a5a8-b31d2a8d717f,infraspecies,28492608-1d73-454c-9b20-30f595be82fa,Plantae,Shortia rotundifolia subcordata,原生 Native,"","資料缺乏（DD, Data Deficient）","",28492608-1d73-454c-9b20-30f595be82fa,國內紅皮書不同,categoryRedlistTW,"資料缺乏（DD, Data Deficient）;接近受脅（NT, Near Threatened）",62,https://taxatree.tbn.org.tw/taxa/d6dc5ca6-7ac1-499c-a5a8-b31d2a8d717f
7ea9847e-fbe8-4908-9aad-35e7d4f75c6f,infraspecies,28492608-1d73-454c-9b20-30f595be82fa,Plantae,Shortia rotundifolia transalpine,原生 Native,"","接近受脅（NT, Near Threatened）","",28492608-1d73-454c-9b20-30f595be82fa,國內紅皮書不同,categoryRedlistTW,"資料缺乏（DD, Data Deficient）;接近受脅（NT, Near Threatened）",1,https://taxatree.tbn.org.tw/taxa/7ea9847e-fbe8-4908-9aad-35e7d4f75c6f
391a6826-6340-41cc-9d0d-a47795f15b4d,species,a8997263-cfa0-4ee9-be2d-860510923ba4,Plantae,Eleocharis congesta,原生 Native,"","","",391a6826-6340-41cc-9d0d-a47795f15b4d,國內紅皮書不同,categoryRedlistTW,"資料缺乏（DD, Data Deficient）;易危（VU, Vulnerable）",1137,https://taxatree.tbn.org.tw/taxa/391a6826-6340-41cc-9d0d-a47795f15b4d
ddb257c3-4838-4eeb-98a8-c267493d98e2,infraspecies,391a6826-6340-41cc-9d0d-a47795f15b4d,Plantae,Eleocharis congesta japonica,原生 Native,"","暫無危機（LC, Least Concern）","",391a6826-6340-41cc-9d0d-a47795f15b4d,國內紅皮書不同,categoryRedlistTW,"資料缺乏（DD, Data Deficient）;易危（VU, Vulnerable）",168,https://taxatree.tbn.org.tw/taxa/ddb257c3-4838-4eeb-98a8-c267493d98e2
f80b2eff-363e-4fcf-9a85-246b9fb7876f,infraspecies,391a6826-6340-41cc-9d0d-a47795f15b4d,Plantae,Eleocharis congesta subvivipara,原生 Native,"","資料缺乏（DD, Data Deficient）","",391a6826-6340-41cc-9d0d-a47795f15b4d,國內紅皮書不同,categoryRedlistTW,"資料缺乏（DD, Data Deficient）;易危（VU, Vulnerable）",0,https://taxatree.tbn.org.tw/taxa/f80b2eff-363e-4fcf-9a85-246b9fb7876f
cc911af6-aa40-4340-b42f-fa6e01743c8f,infraspecies,391a6826-6340-41cc-9d0d-a47795f15b4d,Plantae,Eleocharis congesta thermalis,原生 Native,"","易危（VU, Vulnerable）","",391a6826-6340-41cc-9d0d-a47795f15b4d,國內紅皮書不同,categoryRedlistTW,"資料缺乏（DD, Data Deficient）;易危（VU, Vulnerable）",0,https://taxatree.tbn.org.tw/taxa/cc911af6-aa40-4340-b42f-fa6e01743c8f
3b6cd76e-f658-4cc7-9625-ba0aeaa8d576,species,59a8e175-9433-45c7-ac2e-4e06d6668f06,Plantae,Bulbophyllum electrinum,原生 Native,"","","",3b6cd76e-f658-4cc7-9625-ba0aeaa8d576,國內紅皮書不同,categoryRedlistTW,"資料缺乏（DD, Data Deficient）;易危（VU, Vulnerable）",7,https://taxatree.tbn.org.tw/taxa/3b6cd76e-f658-4cc7-9625-ba0aeaa8d576
f0920008-acd9-4790-8e44-e7873a3d839e,infraspecies,3b6cd76e-f658-4cc7-9625-ba0aeaa8d576,Plantae,Bulbophyllum electrinum calvum,原生 Native,"","資料缺乏（DD, Data Deficient）","",3b6cd76e-f658-4cc7-9625-ba0aeaa8d576,國內紅皮書不同,categoryRedlistTW,"資料缺乏（DD, Data Deficient）;易危（VU, Vulnerable）",1,https://taxatree.tbn.org.tw/taxa/f0920008-acd9-4790-8e44-e7873a3d839e
