taxonUUID,taxonRank,simplifiedScientificName,endemism,nativeness,protectedStatusTW,categoryRedlistTW,categoryIUCN,sensitiveCategory,reason,TT_URL
79fbb540-2229-42ea-af02-6fc353ed3df2,species,Phanerochaete magnoliae,"","","","","","",種與種下原生性空白,https://taxatree.tbn.org.tw/taxa/79fbb540-2229-42ea-af02-6fc353ed3df2
2cfb7569-1e1f-4ab6-aa95-9d6273cc8b9c,species,Gloeocystidiellum luridum,"","","","","","",種與種下原生性空白,https://taxatree.tbn.org.tw/taxa/2cfb7569-1e1f-4ab6-aa95-9d6273cc8b9c
935972a8-a048-4d58-8b72-8965062370f2,species,Leucosporidiella creatinivora,"","","","","","",種與種下原生性空白,https://taxatree.tbn.org.tw/taxa/935972a8-a048-4d58-8b72-8965062370f2
42fabc97-40ad-45e9-95c2-6ffd4816a536,species,Daedaleopsis purpurea,"","","","","","",種與種下原生性空白,https://taxatree.tbn.org.tw/taxa/42fabc97-40ad-45e9-95c2-6ffd4816a536
30b1632c-bbb6-4bae-b559-610e7f982ee3,species,Dispira cornuta,"","","","","","",種與種下原生性空白,https://taxatree.tbn.org.tw/taxa/30b1632c-bbb6-4bae-b559-610e7f982ee3
da48a58b-6eaa-4b19-b917-25b8928200f3,species,Dispira simplex,"","","","","","",種與種下原生性空白,https://taxatree.tbn.org.tw/taxa/da48a58b-6eaa-4b19-b917-25b8928200f3
e3ba7c8c-107c-4caf-a095-e7b3cbacc75b,species,Apoa petrakii,"","","","","","",種與種下原生性空白,https://taxatree.tbn.org.tw/taxa/e3ba7c8c-107c-4caf-a095-e7b3cbacc75b
467d774e-b9d9-48f5-929a-84c8da7433f2,species,Cocconia placenta,"","","","","","",種與種下原生性空白,https://taxatree.tbn.org.tw/taxa/467d774e-b9d9-48f5-929a-84c8da7433f2
bfd8cd3c-2472-4dbe-b404-b651e4c26157,species,Dictyocyclus hydrangeae,"","","","","","",種與種下原生性空白,https://taxatree.tbn.org.tw/taxa/bfd8cd3c-2472-4dbe-b404-b651e4c26157
11352c6f-60b8-438d-89c0-dd26731a3ef8,species,Kentingia corticola,"","","","","","",種與種下原生性空白,https://taxatree.tbn.org.tw/taxa/11352c6f-60b8-438d-89c0-dd26731a3ef8
bab2cf9e-627f-43b9-9b74-7a86968e25a7,species,Parmulina japonica,"","","","","","",種與種下原生性空白,https://taxatree.tbn.org.tw/taxa/bab2cf9e-627f-43b9-9b74-7a86968e25a7
cb1e509a-f5f9-4ca2-8508-acbf697428d1,species,Armata macrospora,"","","","","","",種與種下原生性空白,https://taxatree.tbn.org.tw/taxa/cb1e509a-f5f9-4ca2-8508-acbf697428d1
7346eda3-387e-434f-9ae3-85c21cc9a3e9,species,Micropeltis symploci,"","","","","","",種與種下原生性空白,https://taxatree.tbn.org.tw/taxa/7346eda3-387e-434f-9ae3-85c21cc9a3e9
425eba39-2eb8-4ffa-b33a-967a75a08eaa,species,Rhytidenglerula trematis,"","","","","","",種與種下原生性空白,https://taxatree.tbn.org.tw/taxa/425eba39-2eb8-4ffa-b33a-967a75a08eaa
8a64ef5c-f12e-48b4-8d65-1abe3d02fab3,species,Hemicorynespora mitrata,"","","","","","",種與種下原生性空白,https://taxatree.tbn.org.tw/taxa/8a64ef5c-f12e-48b4-8d65-1abe3d02fab3
27e7723d-f43b-46e1-a2e1-f288245db481,species,Piricauda taiwanensis,"","","","","","",種與種下原生性空白,https://taxatree.tbn.org.tw/taxa/27e7723d-f43b-46e1-a2e1-f288245db481
7e399ad3-65c2-41bb-9f54-dd2ef2b7cb59,species,Solosympodiella palmicola,"","","","","","",種與種下原生性空白,https://taxatree.tbn.org.tw/taxa/7e399ad3-65c2-41bb-9f54-dd2ef2b7cb59
