TT_taxonUUID,TT_taxonRank,TT_kingdom,TT_taiCOLNameCode,TT_simplifiedScientificName,TC_rank,TC_kingdom,TC_taxon_status,TC_is_in_taiwan
1daf6032-f8df-4937-9bdb-a884da4b1e6d,class,Animalia,t0000528,Ostracoda,class,Animalia,accepted,TRUE
a803f49d-d367-4db9-b973-d446e665f4e9,class,Animalia,t0000516,Malacostraca,class,Animalia,accepted,TRUE
346ca6f6-5941-4a50-9ee9-1eae8850d82d,class,Animalia,t0000518,Maxillopoda,class,Animalia,accepted,FALSE
8ffd79d8-3c69-4551-998e-5046f6de99c7,class,Animalia,t0002893,Entognatha,class,Animalia,accepted,TRUE
278b22c8-198e-43a6-b074-851061e20a62,class,Animalia,t0000543,Pycnogonida,class,Animalia,accepted,TRUE
fed1e06f-3d52-4f12-8dcf-7aeed0552eb0,class,Animalia,t0000473,Branchiopoda,class,Animalia,accepted,TRUE
20627f09-dd8a-455d-991e-2cc9714287c5,class,Animalia,t0000490,Diplopoda,class,Animalia,accepted,TRUE
61c435a6-2f76-4d87-be14-b17e0b4b4a64,class,Animalia,t0000479,Chilopoda,class,Animalia,accepted,TRUE
07f584bd-c69f-4d35-b055-2f15097dfac0,class,Animalia,t0000519,Merostomata,class,Animalia,accepted,TRUE
a4bf4963-5d24-4e02-9b11-b8a2ce74bfab,class,Animalia,t0002887,Actinopterygii,class,Animalia,deleted,TRUE
beec8449-e5f8-486b-8395-ac587db6c64d,class,Animalia,t0002889,Aves,class,Animalia,deleted,TRUE
33faa3f8-689a-48d6-b07e-4892c66051f8,class,Animalia,t0000545,Reptilia,class,Animalia,accepted,TRUE
57ec2a7c-cd34-44ad-b6d5-2bc4d5385c93,class,Animalia,t0002891,Chondrichthyes,class,Animalia,accepted,FALSE
dc613415-0aa4-49b7-9867-45f810a44f3b,class,Animalia,t0000517,Mammalia,class,Animalia,accepted,TRUE
559ea8e2-0d3d-4aaf-97d5-d047ae9680f5,class,Animalia,t0000464,Amphibia,class,Animalia,accepted,TRUE
47933c17-4f07-4892-b29b-0274c6a7e972,class,Animalia,t0002888,Amphioxichthyes,class,Animalia,accepted,FALSE
c2eaaab4-6e4d-4972-9da2-cd0eff620e06,class,Animalia,t0000557,Thaliacea,class,Animalia,accepted,TRUE
1682d8c0-6dd0-43c2-b7c0-afbd412f87bb,class,Animalia,t0000470,Ascidiacea,class,Animalia,accepted,TRUE
ec24271f-077e-4001-a8a6-b1b19ad7ebe7,class,Animalia,t0000522,Myxini,class,Animalia,accepted,TRUE
a0e5d1c2-fdec-4c20-9956-f44775d0e944,class,Animalia,t0000472,Bivalvia,class,Animalia,accepted,TRUE
3951fb9b-a076-484f-b92e-3acf6479c425,class,Animalia,t0000478,Cephalopoda,class,Animalia,accepted,TRUE
1a0d2ffb-12fc-4346-80d1-6b51057d1143,class,Animalia,t0000503,Gastropoda,class,Animalia,accepted,TRUE
ff368a20-b5a6-4568-89bf-93f238475ae8,class,Animalia,t0000539,Polyplacophora,class,Animalia,accepted,TRUE
89f286ed-97d0-4c8b-8e37-f13741901d0c,class,Animalia,t0000548,Scaphopoda,class,Animalia,accepted,TRUE
40349eaa-810b-47a0-bd56-3237a4206e34,class,Animalia,t0000551,Solenogastres,class,Animalia,accepted,TRUE
22cd4658-a33b-4e0c-ae54-4e3cf771b12c,class,Animalia,t0000511,Hydrozoa,class,Animalia,accepted,TRUE
5867f304-bbb8-468f-bed3-e810545a7c22,class,Animalia,t0000560,Octocorallia,class,Animalia,accepted,TRUE
5adebc00-3d08-49ef-b21b-2d765a9c7908,class,Animalia,t0000549,Scyphozoa,class,Animalia,accepted,TRUE
16d4fb88-fa6b-4dd0-bd7a-e3945b0304dd,class,Animalia,t0000471,Asteroidea,class,Animalia,accepted,TRUE
b1ebfe5a-0dee-46fe-8d40-82afb230e5d0,class,Animalia,t0000509,Holothuroidea,class,Animalia,accepted,TRUE
08777103-4f03-4d66-b419-e5ab44632bbf,class,Animalia,t0000494,Echinoidea,class,Animalia,accepted,TRUE
100d0a3a-cae0-455d-958f-a3cd91bd97c5,class,Animalia,t0000527,Ophiuroidea,class,Animalia,accepted,TRUE
dc9b5389-e645-4182-8d24-d262f31e92c2,class,Animalia,t0000487,Crinoidea,class,Animalia,accepted,TRUE
1fac4bd1-a247-4d55-9ca7-fb5c9e618208,class,Animalia,t0002899,Trematoda,class,Animalia,deleted,TRUE
6f82946d-471a-45a0-89db-86eb98ed24a8,class,Animalia,t0002890,Cestoda,class,Animalia,accepted,FALSE
2e16ecdb-2d36-4930-83d7-7b5d5096f3c1,class,Animalia,t0002900,Turbellaria,class,Animalia,accepted,TRUE
52865d13-e30f-44a0-9130-55a6cb975b4a,class,Animalia,t0000553,Stenolaemata,class,Animalia,accepted,TRUE
9203c841-4331-4ff6-8d6b-a0b3836d5167,class,Animalia,t0000547,Sagittoidea,class,Animalia,accepted,TRUE
4e35ae6e-8306-4b11-bb48-43f9d196a8a4,class,Animalia,t0000483,Clitellata,class,Animalia,accepted,TRUE
b5f41e78-1f85-45a3-b384-a5f899a9e717,class,Animalia,t0000537,Polychaeta,class,Animalia,accepted,TRUE
76d211c1-42b8-4155-bb31-01a64ad45da5,class,Animalia,t0002898,Secernentea,class,Animalia,accepted,TRUE
8929692a-d48d-428f-9dc1-34c3dba5f455,class,Animalia,t0000481,Chromadorea,class,Animalia,accepted,TRUE
9459321b-82d3-4bae-8c9b-7bf74e33f657,class,Animalia,t0000533,Phascolosomatidea,class,Animalia,accepted,TRUE
88470336-58fc-4626-b86e-06a5c6fb9672,class,Animalia,t0000550,Sipunculidea,class,Animalia,accepted,TRUE
8aae6edf-6a13-4da6-81f0-038f271c1b64,class,Animalia,t0002896,Monogononta,class,Animalia,accepted,TRUE
e12102e6-e113-46bd-a8c0-05f904652c8c,class,Animalia,t0002892,Digononta,class,Animalia,accepted,FALSE
033b94a4-1e1c-4482-8c6f-647e5f8fb89f,class,Animalia,t0000529,Palaeacanthocephala,class,Animalia,accepted,TRUE
f981deeb-c3b2-4080-93b1-5bf882a2f6fb,class,Animalia,t0000505,Heterotardigrada,class,Animalia,accepted,TRUE
81cf66f2-68c6-4ae3-bf9a-4b02adf3bdfa,class,Animalia,t0000465,Anopla,class,Animalia,accepted,FALSE
b88a4965-0d0e-497f-b3b2-67703ae0b638,order,Animalia,t0001880,Gordioidea,order,Animalia,accepted,TRUE
