TT_taxonUUID,TT_taxonRank,TT_kingdom,TT_taiCOLNameCode,TT_simplifiedScientificName,taxon_id,taxon_status,simple_name,rank,kingdom
7e7cc419-f730-47cb-b079-b264d49f2c7d,species,Plantae,"",Sedum uniflorum,t0055303,accepted,Sedum japonicum subsp. oryzifolium,Subspecies,Plantae
7e7cc419-f730-47cb-b079-b264d49f2c7d,species,Plantae,"",Sedum uniflorum,t0105489,accepted,Sedum ryukyuense,Species,Plantae
0fa0d663-9fef-41ce-9d0f-0104142795c2,species,Plantae,"",Desmodium velutinum,t0053359,accepted,Polhillides velutina,Species,Plantae
ab15e21e-597b-45db-9011-257ab107c7c5,species,Plantae,"",Osteomeles anthyllidifolia,t0054665,accepted,Osteomeles schwerinae,Species,Plantae
ab15e21e-597b-45db-9011-257ab107c7c5,species,Plantae,"",Osteomeles anthyllidifolia,t0058670,accepted,Osteomeles anthyllidifolia var. subrotunda,Variety,
41aa0a6b-7dd6-44a8-a2e2-5977163adfe4,species,Plantae,"",Rubus hayatakoidzumii,t0075701,deleted,Rubus pentalobus,Species,Plantae
41aa0a6b-7dd6-44a8-a2e2-5977163adfe4,species,Plantae,"",Rubus hayatakoidzumii,t0103385,deleted,Rubus pentalobus,Species,Plantae
41aa0a6b-7dd6-44a8-a2e2-5977163adfe4,species,Plantae,"",Rubus hayatakoidzumii,t0104456,deleted,Rubus pentalobus,Species,Plantae
41aa0a6b-7dd6-44a8-a2e2-5977163adfe4,species,Plantae,"",Rubus hayatakoidzumii,t0105404,accepted,Rubus pentalobus,Species,Plantae
6dfc0a8c-7f4d-4099-82ac-853127fd89c6,species,Plantae,"",Euonymus chinensis,t0053877,accepted,Gymnopetalum chinense,Species,Plantae
2a042a42-f097-4f75-b737-d6c7324c23df,species,Plantae,"",Trapa quadrispinosa,t0055640,accepted,Trapa natans var. komarovii,Variety,Plantae
a0509ef5-4312-4b2b-b13d-3effcbbae235,species,Plantae,"",Bredia penduliflora,t0040445,accepted,Bredia gibba,Species,Plantae
e4d379bd-463a-4599-8f3a-36937eed35e6,species,Plantae,"",Citrus taiwanica,t0053032,accepted,Citrus × aurantium,Species,Plantae
e4d379bd-463a-4599-8f3a-36937eed35e6,species,Plantae,"",Citrus taiwanica,t0053034,accepted,Citrus × taiwanica,Species,Plantae
7623b29a-b858-4962-97b0-61d59e8bd413,infraspecies,Plantae,"",Huperzia serrata longipetiolata,t0058031,accepted,Huperzia javanica,Species,Plantae
7623b29a-b858-4962-97b0-61d59e8bd413,infraspecies,Plantae,"",Huperzia serrata longipetiolata,t0103469,deleted,Huperzia serrata var. longipetiolata,Variety,Plantae
