TT_taxonUUID,TT_taxonRank,TT_kingdom,TT_taiCOLNameCode,TT_simplifiedScientificName,TC_taxon_status
b5f41e78-1f85-45a3-b384-a5f899a9e717,class,Animalia,t0000537,Polychaeta,accepted
76d211c1-42b8-4155-bb31-01a64ad45da5,class,Animalia,t0002898,Secernentea,accepted
8929692a-d48d-428f-9dc1-34c3dba5f455,class,Animalia,t0000481,Chromadorea,accepted
9459321b-82d3-4bae-8c9b-7bf74e33f657,class,Animalia,t0000533,Phascolosomatidea,accepted
88470336-58fc-4626-b86e-06a5c6fb9672,class,Animalia,t0000550,Sipunculidea,accepted
8aae6edf-6a13-4da6-81f0-038f271c1b64,class,Animalia,t0002896,Monogononta,accepted
e12102e6-e113-46bd-a8c0-05f904652c8c,class,Animalia,t0002892,Digononta,accepted
033b94a4-1e1c-4482-8c6f-647e5f8fb89f,class,Animalia,t0000529,Palaeacanthocephala,accepted
f981deeb-c3b2-4080-93b1-5bf882a2f6fb,class,Animalia,t0000505,Heterotardigrada,accepted
81cf66f2-68c6-4ae3-bf9a-4b02adf3bdfa,class,Animalia,t0000465,Anopla,accepted
b88a4965-0d0e-497f-b3b2-67703ae0b638,order,Animalia,t0001880,Gordioidea,accepted
8825e9f3-62fa-47b8-b533-2d06ed421713,class,Animalia,t0002895,Inarticulata,accepted
5481263f-dbae-412c-a182-9f273cc72683,order,Animalia,t0001889,Hadromerida,accepted
c27ab022-ea72-40d3-b39c-dea88357f3d2,order,Animalia,t0001890,Halichondrida,accepted
25c0da45-c7da-412a-a5bc-9267c62baeea,order,Animalia,t0001667,Agelasida,accepted
676739ff-415f-4890-bc5b-7a64f18dc0d4,order,Animalia,t0002085,Poecilosclerida,accepted
d6f45f92-bdda-419e-8745-b42d2482f919,order,Animalia,t0001768,Chondrosida,accepted
e82c2962-f1a7-498b-a3bd-a70b7dc7b13f,order,Animalia,t0002172,Spirophorida,accepted
9ec62a2f-11c0-476f-a01f-1da7d42c240e,order,Animalia,t0001821,Dictyoceratida,accepted
f89f512d-e53c-41c1-8184-2dcbf8700f0b,order,Animalia,t0001710,Astrophorida,accepted
580132b1-bd7f-4c37-89a7-3548ea353b26,order,Animalia,t0001910,Homosclerophorida,accepted
c5c317b9-31d3-4653-88e3-db2b941b1750,order,Animalia,t0002237,Verongida,accepted
201aad5f-9f1b-4d48-addc-dcff4f501f09,order,Animalia,t0001949,Lithistida,accepted
564e45c9-7f85-40e4-a58d-c1ce6e57ca5a,order,Animalia,t0001776,Clathrinida,accepted
94c9718f-53e0-4a23-abe6-970931ff3b21,order,Animalia,t0002224,Trombidiformes,accepted
0cae7204-161f-4c73-b52e-ed91c57727cf,order,Animalia,t0002131,Sarcoptiformes,accepted
b9b3a3b3-b8ce-4cd0-9c03-5f2dd7279f6e,order,Animalia,t0001697,Araneae,accepted
6130b3b1-848c-45d3-a9d6-0c0ae1c31dc3,order,Animalia,t0001975,Mesostigmata,accepted
d520295c-35dd-4dd4-9188-23a2b0ca3fa1,order,Animalia,t0001920,Ixodida,accepted
74b67d38-97c1-45b3-ab4d-e1383daa98aa,order,Animalia,t0002134,Schizomida,accepted
ac0682fe-d65b-4d56-a1bc-2e53cba7b05b,order,Animalia,t0001673,Amblypygi,accepted
86247dac-5ffa-4730-a6c5-9ab3eeedfdd8,order,Animalia,t0002107,Pseudoscorpiones,accepted
