TT_taxonUUID,TT_taxonRank,TT_kingdom,TT_taiCOLNameCode,TT_simplifiedScientificName,TC_simple_name,TC_taxon_status,TC_is_in_taiwan
8491828c-9e4a-476d-8c38-98ae707baa96,species,Animalia,t0068321,Macrothele taiwanensis,Vacrothele taiwanensis,accepted,TRUE
532bcc07-5f4c-4472-92c3-5fc4353e9563,species,Animalia,t0080849,Mysmena taiwanica,Chimena taiwanica,accepted,TRUE
3361925a-e3ac-405f-a5f7-4d40ded7244e,species,Animalia,t0079949,Cyclodius granulosus,Phymodius granulosus,accepted,TRUE
9862ee1a-3fd2-4e8e-a3a6-796158c15d09,species,Animalia,t0033342,Thalamita demani,Trierarchus demani,accepted,TRUE
472c5733-a048-4d8e-b2b5-b84c5fd0e631,species,Animalia,t0065237,Heikea japonica,Heikeopsis japonica,accepted,TRUE
74ad851c-784c-4019-8825-fa48baf7c1cb,species,Animalia,t0037872,Rhynchocinetes hendersoni,Cinetorhynchus hendersoni,accepted,TRUE
c209c92e-4ebd-4d87-96c3-ea7e025fc14e,species,Animalia,t0046238,Totanus taiwanicus,Tortanus taiwanicus,accepted,TRUE
2c31343a-7332-4a38-8124-d7be6d1ed89c,species,Animalia,t0047600,Totanus spinicaudatus,Tortanus spinicaudatus,accepted,TRUE
fb2ac646-5754-4e70-9faf-cd545fee033e,species,Animalia,t0047601,Totanus vermiculus,Tortanus vermiculus,accepted,TRUE
58c33ae0-c5c9-4212-995f-758db3923dd9,species,Animalia,t0047591,Totanus barbatus,Tortanus barbatus,accepted,TRUE
d53c6ced-1cd2-4167-a26d-74b256ced1f8,species,Animalia,t0047595,Totanus forcipatus,Tortanus forcipatus,accepted,TRUE
0fcb3c6c-fb8d-4f0c-ac42-28a00a708c68,species,Animalia,t0047596,Totanus gracilis,Tortanus gracilis,accepted,TRUE
d62cadfe-a265-4f83-a4a9-1c6b4aeac149,species,Animalia,t0047592,Totanus denticulata,Tortanus denticulata,accepted,TRUE
0b80b00e-c140-4a92-b758-7774d27fc5b2,species,Animalia,t0030930,Dendrochirus biocellatus,Nemapterois biocellatus,accepted,TRUE
0233dc43-b5d4-48c1-b6da-4e51639f0a21,species,Animalia,t0032340,Pterois antennatus,Pteropterus antennatus,accepted,TRUE
d4cab5bd-bf57-4cc1-b122-70430eb6def0,species,Animalia,t0056003,Pterois radiatus,Pteropterus radiatus,accepted,TRUE
a11caee8-4ee6-4b3b-b8e4-925296309345,species,Animalia,t0056002,Pterois paucispinula,Pteropterus paucispinula,accepted,TRUE
b110882c-ec87-4a71-9025-6ce8cab8f54d,species,Animalia,t0056214,Scorpaenodes crossotus,Thysanichthys crossotus,accepted,TRUE
fb16b09b-9653-4c28-b90a-0a4afbab6bc8,species,Animalia,t0032812,Setarches longimanus,Lythrichthys longimanus,accepted,TRUE
4424d841-7a8f-4646-842e-4473be31b550,species,Animalia,t0049952,Bathyclupea argentea,Neobathyclupea argentea,accepted,FALSE
cb3461a3-6a9f-451b-9e03-189d80354931,species,Animalia,t0033387,Thryssa chefuensis,Thrissina chefuensis,accepted,TRUE
c026f5c8-76ef-495b-9372-51696f8d9b57,species,Animalia,t0033388,Thryssa dussumieri,Thrissina dussumieri,accepted,TRUE
3f59a1f3-60d6-4a18-9670-3d029c2938dc,species,Animalia,t0033389,Thryssa hamiltonii,Thrissina hamiltonii,accepted,FALSE
a49cd266-442a-462b-8a8d-42b6d52486b6,species,Animalia,t0033391,Thryssa setirostris,Thrissina setirostris,accepted,TRUE
57e59748-b7ca-49f0-826f-37370e3a32f0,species,Animalia,t0028139,Myctophum asper,Dasyscopelus asper,accepted,TRUE
e7a640ac-e23f-40d5-9f0e-48d50ffe39c6,species,Animalia,t0028140,Myctophum obtusirostris,Dasyscopelus obtusirostris,accepted,TRUE
1c34c111-aaca-426c-896f-59450ded450c,species,Animalia,t0079411,Corvus dauuricus,Coloeus dauuricus,accepted,TRUE
20363a3c-1e5c-4162-a830-67fe4e451174,species,Animalia,t0099755,Accipiter badia,Tachyspiza badia,accepted,TRUE
b6df16d7-59fa-4d02-bb4b-905d2dd69c5f,species,Animalia,t0065021,Haliaeetus leucogaster,Icthyophaga leucogaster,accepted,TRUE
aafb6332-190b-4cc6-ab49-27acef3386b4,species,Animalia,t0122139,Ara chloropterus,Ara chloroptera,accepted,TRUE
d4a4a2b6-f048-4c30-8c44-1988a7134784,species,Animalia,t0037535,Python reticulatus,Malayopython reticulatus,accepted,TRUE
68b9e86e-d9de-4e68-aae4-b3c098edb251,species,Animalia,t0031625,Parmaturus melanobranchus,Dichichthys melanobranchus,accepted,TRUE
