TT_taxonUUID,TT_taxonRank,TT_kingdom,TT_taiCOLNameCode,TT_simplifiedScientificName,hit_index,taicol_taxon_id,taicol_status
f89a3a87-4cc3-4075-8fcd-29166096630d,species,Plantae,"",Tagetes tenuifolia,1,t0055541,not-accepted
a8bb584b-1db7-4e46-ba9c-8be15e643da4,species,Plantae,"",Anaphalis margaritacea,1,[],
7bcf7f13-1545-465f-acf7-de99c0146589,species,Plantae,"",Blumea membranacea,1,[],
d3721da7-7335-4b70-bbe6-bb7c9a018fb6,species,Plantae,"",Glebionis coronaria,1,t0052992,not-accepted
b31b4c98-2a77-47e7-bfa1-af50ebc8768d,species,Plantae,"",Gynura cardunculus,,,
8b86be57-f744-45aa-a1cf-bfe8c43d5007,species,Plantae,"",Gynura pinnatifida,1,t0053882,not-accepted
ff672ddb-3da9-4e56-8439-1a42c8b2dc50,species,Plantae,"",Gynura regetum,,,
474c0af4-a776-4eeb-865f-7ce918ee469d,species,Plantae,"",Ixeris japonica,1,[],
50d90673-a0ec-4ea5-b4a7-b4f9d4f188da,species,Plantae,"",Paraprenanthes melanantha,1,[],
9a1960d0-4b43-42a6-896c-5b6486a2cf20,species,Plantae,"",Parasenecio monantha,1,t0054697,misapplied
860b47de-5927-44d3-ac29-7216989edfe9,species,Plantae,"",Praxelis pauciflora,1,t0033521,not-accepted
819c10cc-5562-4ab9-91ad-0fd17d23702c,species,Plantae,"",Sigesbeckia glabrescens,1,t0055342,not-accepted
c1dbe3bd-8e32-4be3-9482-a40d3ac57290,species,Plantae,"",Syneilesis intermedia,1,t0058327,not-accepted
d70c6726-7bfe-4ac3-b6a3-54526c3bc96a,species,Plantae,"",Wedelia chinensis,1,t0055427,not-accepted
2bde0ab5-06de-4fc9-9430-f6d330d4cbdd,species,Plantae,"",Wedelia montana,1,t0058073,not-accepted
6714248d-d0c1-4291-88d6-6f316c83db0d,species,Plantae,"",Wedelia trilobata,1,t0058277,not-accepted
7e215014-3c7a-4698-b692-8f5c82a160de,species,Plantae,"",Arctotis stoechadifolia,,,
aacd5971-f8bd-4ad9-8888-8be537850a8e,species,Plantae,"",Chrysanthemum frutescens,1,t0052993,not-accepted
bb11e1e2-a4f7-4bc3-8969-2a3ac7362636,species,Plantae,"",Chrysanthemum leucanthemum,1,t0054222,not-accepted
bbc07a09-9992-4391-bbdb-b190d2b3c5d2,species,Plantae,"",Ethulia conyoides,,,
fa7a654d-2076-4bf4-b971-99a6da21292f,species,Plantae,"",Synurus taiwanianus,1,t0058201,not-accepted
09cfef74-14ea-48e1-be63-f90919c32c88,species,Plantae,"",Wollastonia montana,1,t0058073,not-accepted
20d4832e-d79d-4253-841c-809f7f690078,species,Plantae,"",Viburnum arboricola,1,t0057482,not-accepted
8f82142f-ed3c-4d8a-8578-9be4f291468b,species,Plantae,"",Viburnum dilatatum,,,
16ea71df-d11e-4d76-b43e-773607379818,species,Plantae,"",Viburnum suspensum,,,
df9403ff-fb23-4d5b-b43e-318a53a0a63a,species,Plantae,"",Triplostegia formosa,,,
65303308-074a-473f-a98e-2ac236bce574,infraspecies,Plantae,"",Heptapleurum ellipticum ellipticum,,,
5d5de24f-151c-49c2-9ade-ad7c53bd5f61,species,Plantae,"",Hydrocotyle keelungensis,1,t0053967,not-accepted
fef39fd3-7b27-4876-8686-2e33a5988275,species,Plantae,"",Hedera japonica,1,t0058935,not-accepted
3d386bd4-861d-4619-9482-1422895ab78f,species,Plantae,"",Pimpinella tagawae,1,[],
a2bda281-df6b-40f8-adf9-f26f2fac9c5a,species,Plantae,"",Angelica taiwaniana,1,t0040169,not-accepted
bb90f1d5-00c9-4041-a47c-5802a3ff6473,species,Plantae,"",Carum petroselinum,,,
d86e744f-3d5a-4ade-9cf3-38192cfd4d7d,species,Plantae,"",Gaultheria leucocarpa,1,[],
8625eb13-be70-4a83-9b42-7be07609743f,species,Plantae,"",Desmodium laxum,1,t0103673,not-accepted
e626d310-64de-4ed5-90ab-f4fdb41236c5,species,Plantae,"",Quercus acuta,1,t0058462,not-accepted
ff270e76-b96f-4199-8841-cac368fbbd05,species,Plantae,"",Swertia kuroiwai,1,t0055488,misapplied
728f20b9-5d32-4c66-88c6-0b78ca44b1b6,species,Plantae,"",Archangiopteris henryi,1,[],
1997995e-0c30-4c53-bf89-3c27692bb007,species,Plantae,"",Maesa montana,1,[],
3246daa7-3c51-4dd2-a15b-04453e04dfb9,species,Plantae,"",Rhizophora mucronata,1,t0055067,misapplied
da97cabe-32ff-411b-821b-e285f1d012f1,species,Plantae,"",Symplocos glomerata,1,t0124183,accepted
ab0d487b-9ca6-4a86-8352-772f15e1bd47,species,Plantae,"",Aristolochia shimadae,1,t0061042,not-accepted
d401e955-bde2-46ab-b6cb-fbb0b5080324,species,Plantae,"",Acer cissifolium,,,
8c3cbe17-8430-4994-96b6-18c9f5b34e3c,species,Plantae,"",Ilex mutchagara,1,t0054028,misapplied
5fc7bdf1-9249-4d76-80ab-5adec25e8416,species,Plantae,"",Athyrium japonicum,1,t0100553,misapplied
92cb8500-d788-4116-a831-e049bcfd5dc5,species,Plantae,"",Deparia pycnosora,1,[],
ee71fa7c-4c83-4013-9597-52c2a75ec2f8,species,Plantae,"",Juniperus communis,,,
fef87069-83ba-4079-afb0-095a22da0dae,species,Plantae,"",Daphniphyllum teijsmannii,,,
436f76d5-9e23-414f-aa24-d3313cbb3ef5,species,Plantae,"",Schizocodon soldanelloides,,,
db54bfc1-68f4-4577-847e-c6208a313dd1,species,Plantae,"",Dioscorea pentaphylla,1,t0053403,not-accepted
3339ab94-392c-4c8a-81e4-e6b75c9006a4,species,Plantae,"",Cyrtomium longipes,1,t0026637,not-accepted
a92328b1-9be1-477a-826c-275eac3d805c,species,Plantae,"",Menziesia multiflora,,,
19f79f54-689b-4b4a-9eff-911b724b117d,species,Plantae,"",Astragalus mollissimus,,,
10479fc8-3e9b-441e-a34f-875ce412704f,species,Plantae,"",Desmodium incanum,1,t0053351,not-accepted
9a08c4ae-85ec-409d-a68e-eb154a670b56,species,Plantae,"",Cinnamomum doederleinii,,,
b285623d-7c6c-4eae-8288-4d0c8bf54f8f,species,Plantae,"",Hemianthus micranthemoides,1,t0054452,not-accepted
dd9047bd-0db9-4a32-99b9-7503cc61d371,species,Plantae,"",Hyphear kaoi,1,t0074644,not-accepted
