TT_simplifiedScientificName,hit_index,taicol_taxon_id,taicol_status
Ancistrocladaceae,,,
Rhabdodendraceae,,,
Simmondsiaceae,,,
Physenaceae,,,
Asteropeiaceae,,,
Macarthuriaceae,,,
Microteaceae,,,
Achatocarpaceae,,,
Stegnospermataceae,,,
Limeaceae,,,
Lophiocarpaceae,,,
Kewaceae,,,
Barbeuiaceae,,,
Gisekiaceae,,,
Sarcobataceae,,,
Montiaceae,,,
Halophytaceae,,,
Anacampserotaceae,,,
Hydrostachyaceae,,,
Loasaceae,,,
Curtisiaceae,,,
Grubbiaceae,,,
Marcgraviaceae,,,
Tetrameristaceae,,,
Fouquieriaceae,,,
Sladeniaceae,,,
Roridulaceae,,,
Clethraceae,,,
Cyrillaceae,,,
Oncothecaceae,,,
Metteniusaceae,,,
Eucommiaceae,1,[],
Wellstediaceae,,,
Codonaceae,,,
Hydrophyllaceae,1,[],
Namaceae,,,
Lennoaceae,,,
Hoplestigmataceae,,,
Vahliaceae,,,
Montiniaceae,,,
Plocospermataceae,,,
Carlemanniaceae,,,
Tetrachondraceae,,,
Calceolariaceae,,,
Stilbaceae,,,
Byblidaceae,,,
Martyniaceae,,,
Schlegeliaceae,,,
Thomandersiaceae,,,
Phyllonomaceae,,,
Rousseaceae,,,
Pentaphragmataceae,,,
Alseuosmiaceae,,,
Phellinaceae,,,
Argophyllaceae,,,
Calyceraceae,,,
Escalloniaceae,,,
Columelliaceae,,,
Bruniaceae,,,
Paracryphiaceae,,,
Viburnaceae,1,[],
Pennantiaceae,,,
Torricelliaceae,,,
Griseliniaceae,,,
Myodocarpaceae,,,
Xanthophyta,,,
Labyrinthulomycota,,,
Zygomycota,1,t0000089,not-accepted
Ciliophora,1,t0000077,accepted
Dinophyta,1,[],
Apicomplexa,1,t0002878,accepted
Apicomplexa,2,t0000191,accepted
Myxospora,1,[],
Prymnesiophyceae,1,t0000333,not-accepted
Peronosporea,1,[],
Synurophyceae,1,[],
Chloromonadineae,,,
Zygomycetes,,,
Hyphomycetes,,,
Spizellomtces,,,
Labyrinthulea,1,t0000351,accepted
Ciliatea,1,t0002909,accepted
Oligotrichea,1,t0002911,accepted
Polyhymenophora,1,[],
Suctorea,1,t0002912,accepted
Dinophyceae,1,t0000338,accepted
Gregarinea,1,t0002908,accepted
Myxosporea,1,t0000523,accepted
Coccosphaerales,1,t0001114,accepted
Chaetosphaeriales,1,t0001389,accepted
Aphyllophorales,,,
Sclerodermatales,,,
Ceratobasidiales,,,
Lycoperdales,,,
Dimargaritaceae,1,t0003422,accepted
Halosphaeriales,,,
Leotiales,1,t0001438,accepted
Actinophryida,1,t0001064,accepted
Archnosphaera,1,t0006520,accepted
Piroplasmida,1,t0001259,accepted
Hypotrichida,1,t0003009,accepted
Heterotrichida,1,t0001176,accepted
Oligotrichida,1,t0003013,accepted
Peritrichida,1,t0003014,accepted
Hymenostomatida,1,t0003008,accepted
Choreotrichida,1,t0003000,accepted
Odontostomatida,1,t0001224,accepted
Spelaeophryida,1,t0003021,accepted
Peridiniales,1,t0001244,accepted
Dinoflagellida,1,t0003002,accepted
Dinophysiales,1,t0003003,accepted
Pyrocystales,1,t0001281,accepted
Gymnodiniales,1,t0001168,accepted
Noctilucales,1,t0003012,accepted
Prorocentrales,1,t0001267,accepted
Thoracosphaerales,1,t0001342,accepted
Eugregarinida,1,t0003006,accepted
Multivalvulida,1,t0001992,accepted
Bivalvulida,1,t0001723,accepted
Chaetosphaeriaceae,1,t0003365,accepted
Ganodermataceae,1,t0003454,not-accepted
Fuscoboletinus,1,[],
Physopella,1,t0008245,not-accepted
Thamnidiaceae,1,[],
Chaetocladiaceae,1,[],
Eccriniidae,1,t0003208,accepted
Stomiopeltella,1,t0008573,accepted
Chloridium,1,t0007265,accepted
Craspedodidymum,1,t0007362,accepted
