TT_taxonUUID,TT_taxonRank,TT_kingdom,TT_taiCOLNameCode,TT_simplifiedScientificName
f284e36e-aeb1-42e7-83e7-fee3853629a1,infraspecies,Protozoa,t0086455,Globigerina praebulloides praebulloides
0f74e310-b33d-46b1-bc2e-5ae972957258,infraspecies,Protozoa,t0086459,Globigerinoides quadrilobatus fistulosus
7eeda381-0fb7-4cc0-80ba-9ee7291deb2f,infraspecies,Protozoa,t0086460,Globigerinoides quadrilobatus immaturus
9c04fad7-2136-4ead-b711-0a297603b5b7,infraspecies,Protozoa,t0086461,Globigerinoides quadrilobatus primordius
b8fcda60-f74e-45a7-b7c7-43f6b612a3fe,infraspecies,Protozoa,t0086462,Globigerinoides quadrilobatus sacculifer
36a65d86-357d-4a88-b486-e51c8fd71070,infraspecies,Protozoa,t0086463,Globigerinoides quadrilobatus trilobus
fa2e5bfc-c5e5-4886-905c-cd523783333d,infraspecies,Protozoa,t0086456,Globigerinoides conglobatus conglobatus
3143bcda-1d55-4bfa-b93a-75d148340f7f,infraspecies,Protozoa,t0086457,Globigerinoides obliquus extremus
779802e5-624e-4e39-8d4f-dc985f10a3d0,infraspecies,Protozoa,t0086458,Globigerinoides obliquus obliquus
d5958da8-81b7-46dc-aaee-38b7fe869bd0,infraspecies,Protozoa,t0086493,Hastigerina siphonifera involuta
f1f9254a-24a3-47d9-badb-9b581b110ce5,infraspecies,Protozoa,t0086494,Hastigerina siphonifera siphonifera
96865bc2-c469-4244-909b-c2529effc140,infraspecies,Protozoa,t0100984,Sphaeroidinellopsis seminulina seminulina
273c6de1-0855-4886-803d-8494c748a780,infraspecies,Protozoa,t0100985,Sphaeroidinellopsis subdehiscens subdehiscens
148e8aec-e9e6-4b44-98a8-b17f4d1c7fdb,infraspecies,Protozoa,t0086470,Globorotalia crasaformis oceanica
b8d0d179-bd4a-40a3-8f8a-82cc66af388f,infraspecies,Protozoa,t0086471,Globorotalia crasaformis ronda
5a1dce00-919f-4df4-b5e5-c2bf1aaa3c27,infraspecies,Protozoa,t0086488,Globorotalia truncatulinoides pachytheca
91b94664-b37c-4460-9798-206be999e441,infraspecies,Protozoa,t0086489,Globorotalia truncatulinoides truncatulinoides
737a0ba2-0dd1-4c42-80ef-226499e857ab,infraspecies,Protozoa,t0086468,Globorotalia acostaensis acostaensis
d34108f3-4c0f-4e18-9721-39207533d243,infraspecies,Protozoa,t0086469,Globorotalia acostaensis humerosa
901673b0-3d30-4c0a-b16c-96533051c0e6,infraspecies,Protozoa,t0086472,Globorotalia crassula crassula
cc0cc5d1-d486-41dc-8e9f-ad2fc92dec4a,infraspecies,Protozoa,t0086473,Globorotalia crassula viola
60a14f01-e9a9-4f3e-a581-eb37ae3c4ea4,infraspecies,Protozoa,t0086474,Globorotalia cultrata cultrata
f24aa97d-16e7-4b16-8aeb-449a2afb7c0e,infraspecies,Protozoa,t0086475,Globorotalia cultrata limbata
9606f45b-5f5c-4db7-9ebd-60c2956a2632,infraspecies,Protozoa,t0086476,Globorotalia cultrata menardii
62371a8a-a37e-4667-afce-ac63c9766ff7,infraspecies,Protozoa,t0086477,Globorotalia cultrata nitida
1c0464f7-842e-4974-bdb8-e834406b8bcd,infraspecies,Protozoa,t0086478,Globorotalia fohsi barisanensis
f360b675-fb2c-46fb-8493-7ecbb99aaee0,infraspecies,Protozoa,t0086479,Globorotalia fohsi fohsi
d3ec0b6f-ca01-42d0-a164-7180b6481878,infraspecies,Protozoa,t0086480,Globorotalia fohsi robusta
5a486b2a-539f-4186-86d7-bdf73b316eae,infraspecies,Protozoa,t0086481,Globorotalia hirsuta hirsuta
e76d7060-3cae-436d-b99d-0a7ec6bac42e,infraspecies,Protozoa,t0086482,Globorotalia miozea cibaoensis
4ed82f8b-6011-41eb-b3f1-e07acf8c94b6,infraspecies,Protozoa,t0086483,Globorotalia opima opima
9e44875f-3f27-44c3-8bb2-afa5ca9ac6ec,infraspecies,Protozoa,t0086484,Globorotalia praemenardii archeomenardii
051b7c6e-ec39-4b23-954b-46596254e738,infraspecies,Protozoa,t0086485,Globorotalia praemenardii praemenardii
2e798b7c-e42b-47c0-aee4-51a437f5a910,infraspecies,Protozoa,t0086486,Globorotalia tosaensis tenuitheca
b1c8099b-b724-4194-a485-7e4e894d1e87,infraspecies,Protozoa,t0086487,Globorotalia tosaensis tosaensis
3d38dbd1-9250-4e5e-982f-d94bbe1b80af,infraspecies,Protozoa,t0086490,Globorotalia tumida plesiotumida
1eb14fb8-2d53-443f-afc0-58a873624893,infraspecies,Protozoa,t0086491,Globorotalia tumida tumida
84ee7b0b-20ac-4a1f-bad0-de71e7f0ac45,infraspecies,Protozoa,t0086466,Globoquadrina dehiscens advena
e2bda0cd-e756-445d-aee5-c031cbba555c,infraspecies,Protozoa,t0086467,Globoquadrina dehiscens dehiscens
1e68b554-1b07-483a-b8bc-d0aeb260bf5e,infraspecies,Protozoa,t0086464,Globoquadrina altispira altispira
75b48cb3-0512-4205-8d34-1b8a205aacaf,infraspecies,Protozoa,t0086465,Globoquadrina altispira globosa
039019d4-7efb-4297-b1d3-7c175f2ac9a5,infraspecies,Protozoa,t0086492,Globorotaloides hexagona variabilis
cd5838e0-c135-4cc0-9a6a-45c186499b95,infraspecies,Protozoa,t0086504,Sphaeroidinella dehiscens dehiscens
be4f4ec2-74d9-4957-a5c4-9468403b6f4d,infraspecies,Protozoa,t0086505,Sphaeroidinella dehiscens excavata
af969c5a-eec2-4ad7-aca8-e6fe31d47592,infraspecies,Protozoa,t0101090,Candeina nitida nitida
6c65d670-a948-4c73-8345-6b5120749fe5,infraspecies,Protozoa,t0087523,Ceratium gravidum angustum
7f1f6921-757c-44e0-96f8-02779e2f7cb2,infraspecies,Protozoa,t0087524,Ceratium macroceros gallicum
09771f1c-6ad6-4117-9820-62735294e390,infraspecies,Protozoa,t0087527,Ceratium tripos atlanticum
dd43a99b-6a73-46ec-8b8a-3dc2625d5942,infraspecies,Protozoa,t0087521,Ceratium carriense volans
ceb217b5-9915-4349-b386-2813ab466856,species,Protozoa,t0028369,Tripos subcontortus
7d815af5-eae8-4619-b2f9-cc25d81f72de,infraspecies,Protozoa,t0086580,Tripos fusus schuettii
dd9995a5-0933-4e2c-a127-797a655b4103,infraspecies,Protozoa,t0087522,Ceratium gibberum dispar
0ad65425-528a-4df6-9c1e-62c8ebffaf66,infraspecies,Protozoa,t0087747,Ceratium hexacanthum spirale
5859e5ce-b921-4788-b55b-bf245e885505,species,Protozoa,t0028362,Tripos claviger
e9826bc2-50fe-4b22-a36a-ece91ab6226d,infraspecies,Protozoa,t0087525,Ceratium pentagonum longisetum
3d9639c4-7284-4007-98ed-23a0e816583c,infraspecies,Protozoa,t0087748,Ceratium pulchellum ipulchellum
28d14191-5166-469b-a2bd-8696bde93af2,infraspecies,Protozoa,t0087526,Ceratium symmetricum coarctatum
4a86e611-b489-47d4-901f-55d0e218ff87,species,Protozoa,t0028368,Tripos robustus
752ef0f7-8eeb-455d-89cb-6732073913f6,infraspecies,Protozoa,t0087567,Podolampas bipes reticulata
f2f3055e-e5d7-42f4-b1fc-1f339faa9a3c,infraspecies,Protozoa,t0087568,Pyrocystis hamulus inaeaqualis
f4eb19b5-7319-4bbf-a2c9-8ce5ba4c4f58,infraspecies,Protozoa,t0086581,Lepocinclis acus minor
6e359e6f-af86-48e2-af27-884024f977d8,infraspecies,Protozoa,t0087535,Euglena limnophila lemmermannii
4f6d4c97-2580-4b5b-a5a0-94893dfacbe7,infraspecies,Protozoa,t0086582,Lepocinclis oxyuris minor
0ce96a04-b24e-46c7-b52b-ea9043fecf83,infraspecies,Protozoa,t0087539,Lepocinclis fusiformis major
eb1e0c05-61a5-4987-af63-63d1fcf5cfb4,infraspecies,Protozoa,t0087540,Lepocinclis fusiformis minor
d1d33944-2706-4d7e-93fb-3763af64d974,infraspecies,Protozoa,t0087541,Lepocinclis glabra raciborskii
88158904-587d-4d6f-b90e-6d630e85d354,infraspecies,Protozoa,t0087542,Lepocinclis longistriata papilla
c20334f6-545e-4fbe-96d6-e589df189d81,infraspecies,Protozoa,t0087543,Lepocinclis marssonii inflata
dde02580-28cf-44e4-984e-828aed0ec0db,infraspecies,Protozoa,t0087544,Lepocinclis marssonii sinensis
50c9f99f-5738-499b-a779-36860963f28d,infraspecies,Protozoa,t0087545,Lepocinclis ovum angustata
245b5bab-f89d-4e7e-bf61-7ebb935bef78,infraspecies,Protozoa,t0087546,Lepocinclis ovum buetschlii
077ed734-3dc4-454c-bd76-6df44ca88d97,infraspecies,Protozoa,t0087547,Lepocinclis ovum conica
3491648d-ce9f-4a89-8f4b-e47ff0ee1f49,infraspecies,Protozoa,t0087548,Lepocinclis ovum dimidio-minor
