TT_taxonUUID,TT_taxonRank,TT_kingdom,TT_taiCOLNameCode,TT_simplifiedScientificName,TC_rank,TC_kingdom,TC_simple_name,TC_taxon_status,TC_is_in_taiwan
a738f507-f451-4766-a343-e80e7c1a28f5,genus,Animalia,t0014983,Polycanthagyna,genus,Animalia,Indaeschna,accepted,TRUE
977c87fe-ff08-4ef1-aeda-f33e8c9207b1,species,Animalia,t0038354,Scaphidium shrakii,species,Animalia,Scaphidium shirakii,accepted,TRUE
86949f33-6aed-4d1c-93d8-3ea9417ee01d,genus,Animalia,t0026180,Ozptila,genus,Animalia,Ozyptila,accepted,TRUE
a5d8d265-2ff1-4f61-8522-ee9f6bf61257,species,Animalia,t0079448,Cosell falsus,species,Animalia,Cosella falsus,accepted,TRUE
22cd7622-2a65-4084-a72c-87ecac96315a,species,Animalia,t0079449,Cosell kadsuriae,species,Animalia,Cosella kadsuriae,accepted,TRUE
53a80b03-a512-49d3-abb3-bf6ed0625dca,species,Animalia,t0079450,Cosell parvifloriae,species,Animalia,Cosella parvifloriae,accepted,TRUE
be1e131a-0f0a-4be6-afb9-2abda8a28eba,species,Animalia,t0084237,Phthacarus clemens,species,Animalia,Phthiracarus clemens,accepted,TRUE
73c4e94a-7ba8-4a9a-a950-0412281ff2f2,species,Animalia,t0027314,Lariniaria argiopiformis,species,Animalia,Larinia argiopiformis,accepted,TRUE
c38f0e4c-f986-43bc-be15-047a50bd49e3,species,Animalia,t0067609,Lipocrea fusiformis,species,Animalia,Larinia fusiformis,accepted,TRUE
dca7f9d6-781e-4445-abd9-587df5039c75,species,Animalia,t0057753,Argyrodes miniaceus,species,Animalia,Famakytta miniaceus,accepted,TRUE
57dc7b42-ee6d-4b2a-994a-fdc14c17de97,species,Animalia,t0072216,Argyrodes lanyuensis,species,Animalia,Rhinoliparus lanyuensis,accepted,TRUE
f8f233cf-d4c5-4e92-865a-c654f0839246,species,Animalia,t0078427,Chrysso trimaculata,species,Animalia,Physcoa trimaculata,accepted,TRUE
400565a3-b9cd-4036-87c4-9adfb03cf713,species,Animalia,t0097706,Chrysso scintillans,species,Animalia,Physcoa scintillans,accepted,TRUE
83152552-f5bc-41c5-9b37-8666cfdb0607,species,Animalia,t0062920,Episinus nubilus,species,Animalia,Asiopisinus nubilus,accepted,TRUE
d42b79de-8cc3-4c58-af5d-65cc37794e4e,species,Animalia,t0029177,Faiditus xiphias,species,Animalia,Rhinocosmetus xiphias,accepted,TRUE
55152068-adc3-42a2-b0e3-642940331873,species,Animalia,t0047278,Theridion xianfengense,species,Animalia,Platnickina xianfengensis,accepted,TRUE
860301c1-91be-4f36-a4a8-69d45d93a712,species,Animalia,t0028573,Yaginumena mutilata,species,Animalia,Lasaeola mutilata,accepted,TRUE
f8d0200f-84f5-4259-af12-d1b3bb8b4e17,species,Animalia,t0027661,Lycosa coelestis,species,Animalia,Erranticosa coelestis,accepted,TRUE
2a4ff497-e8ed-4ebc-9e10-97767cd492a6,species,Animalia,t0031024,Dictyna felis,species,Animalia,Shikibutyna felis,accepted,TRUE
4b1058e6-24fd-4193-be43-1aaa4d1379e3,species,Animalia,t0048891,Xestaspis shoushanensis,species,Animalia,Gamasomorpha shoushanensis,accepted,TRUE
0ca067ea-dc5a-4a75-92cf-e588f0ba9af1,species,Animalia,t0049026,Yaginumaella lobata,species,Animalia,Pancorius lobatus,accepted,TRUE
1e2ed76c-3825-4f40-a84d-ed4e8cd9cdbc,species,Animalia,t0029135,Eutittha insulana,species,Animalia,Cheiracanthium insulanum,accepted,TRUE
f96edf2a-5479-4bbf-9cba-a592c3e0b324,species,Animalia,t0029136,Eutittha mordax,species,Animalia,Cheiracanthium mordax,accepted,TRUE
66eca753-5f9a-48c7-b908-199722e9998d,species,Animalia,t0078788,Clubiona kayashimai,species,Animalia,Femorbiona Kayashimai,accepted,TRUE
7a142df8-609a-4d38-969a-e32a47c2477f,species,Animalia,t0047065,Tetragnatha gracilis,species,Animalia,Tetragnatha earmra,accepted,TRUE
ae97309f-02c9-4506-924b-22d1ed31bc65,species,Animalia,t0029178,Falcileptoneata taiwanensis,species,Animalia,Falcileptoneta taiwanensis,accepted,TRUE
8491828c-9e4a-476d-8c38-98ae707baa96,species,Animalia,t0068321,Macrothele taiwanensis,species,Animalia,Vacrothele taiwanensis,accepted,TRUE
532bcc07-5f4c-4472-92c3-5fc4353e9563,species,Animalia,t0080849,Mysmena taiwanica,species,Animalia,Chimena taiwanica,accepted,TRUE
648d31fb-5512-4511-be43-31db6a043701,species,Animalia,t0029396,Grandilithus taiwanica,species,Animalia,Grandilithus taiwanicus,accepted,TRUE
7b43fd52-40fd-4ac6-8c82-56e407f7d392,species,Animalia,t0083904,Peucetia formosensis,species,Animalia,Peucetia latikae,accepted,TRUE
e7cd70fd-0fd4-4f66-adef-5132723d7d90,species,Animalia,t0072057,Aponomma varanese,species,Animalia,Amblyomma varanense,accepted,TRUE
5e39228e-b431-4a97-9c14-6520d1d63312,species,Animalia,t0037774,Rhipicephalus haemophysaloides,species,Animalia,Rhipicephalus haemaphysaloides,accepted,TRUE
