TT_taxonUUID,TT_taxonRank,TT_kingdom,TT_taiCOLNameCode,TT_simplifiedScientificName,hit_index,taicol_taxon_id,taicol_status
d8b7df15-f3b0-445a-a62a-c6378c86fab7,species,Plantae,"",Citrus bergamia,1,t0053032,not-accepted
a2696ef3-6185-437d-b1e5-b28e130ad5fc,species,Plantae,"",Citrus poonensis,1,t0058813,not-accepted
676118c1-5630-41ed-9591-3cacfc393b6b,species,Plantae,"",Fortunella crassifolia,1,t0058814,not-accepted
3b57edc6-3908-4ec4-b08c-d2a20bca9084,species,Plantae,"",Fortunella japonica,1,t0058814,not-accepted
644af115-d004-46ce-bb41-0315b6a5f52f,species,Plantae,"",Fortunella marginata,1,t0058814,not-accepted
2f17e503-6506-4148-9733-cf1b5810e36b,species,Plantae,"",Brucea amarissima,1,t0040467,not-accepted
d195f876-2719-4842-81bd-242105f39eae,species,Plantae,"",Swietenia mahogoni,1,t0055491,not-accepted
c50f5d74-9564-4ae5-913a-411e684b5585,species,Plantae,"",Chorisia speciosa,1,t0052988,not-accepted
e4a78714-305a-4950-b5f1-5f1cb45950ac,species,Plantae,"",Malva rotundifolia,1,t0054390,not-accepted
13e1e0e4-8426-4e27-8277-0e1cf5dd84f4,species,Plantae,"",Malva sylvestris,1,t0058506,misapplied
9d712986-2998-49f8-a88b-6317f1299843,species,Plantae,"",Waltheria americana,1,t0049343,not-accepted
3f2fa35f-5a38-426a-980f-ffab5f427687,species,Plantae,"",Barbarea arisanensis,1,t0052695,not-accepted
fe956bc0-ca6b-405b-8280-6d3cf6cb0527,species,Plantae,"",Eutrema japonica,1,t0053668,not-accepted
ec876e26-5a3d-46fc-b312-669447379283,species,Plantae,"",Raphanus acanthiformis,1,t0055045,not-accepted
52c10959-69de-4bb4-aa58-bf9dae6f7274,species,Plantae,"",Raphanus sativus,1,t0055045,not-accepted
17a47781-642d-41f4-827e-9983f0f99975,species,Plantae,"",Viscum liquidambaricola,1,t0049328,not-accepted
0cbc3e69-f2c8-40b7-abc1-e678641dd94b,species,Plantae,"",Tamarix juniperina,1,t0055552,not-accepted
989b54b1-10d6-4667-a288-5efef0c61b61,species,Plantae,"",Armeria maritima,1,t0061044,accepted
bb96ac60-1d07-497e-801f-610093a16f0a,species,Plantae,"",Cerastium formosanum,1,t0073130,not-accepted
d45a9e67-895c-472c-875c-bf6b416e3cb0,species,Plantae,"",Cerastium holosteoides,1,t0052929,not-accepted
3e8ef3e0-3e5a-4b32-b54e-22e5e794d5d3,species,Plantae,"",Cerastium parvipetalum,1,t0052932,not-accepted
0b2868f7-c7dc-40a4-9089-c66c8fe0dca9,species,Plantae,"",Silene glabella,1,t0055348,not-accepted
97f57f74-1ca8-4167-993e-73d2e55134dd,species,Plantae,"",Silene formosamontana,1,t0075910,not-accepted
76572e6e-a8ed-41be-b7aa-fccc459cef97,species,Plantae,"",Alternanthera polygonoides,1,t0040130,not-accepted
bf49f05b-9c58-4fdb-8097-f078e7c53f95,species,Plantae,"",Chenopodium ambrosioides,1,t0053465,not-accepted
3e69b738-7b98-44e8-8c81-a7333496bb38,species,Plantae,"",Telanthera versicoloa,1,t0058355,not-accepted
366bee5b-a4b1-4b45-969d-07a11148e426,species,Plantae,"",Mesembryanthemum spectabile,1,t0058115,not-accepted
24011eae-3892-4d4b-851b-cc951d44e2f6,species,Plantae,"",Aptenia cordifolia,1,t0028632,not-accepted
5c9e0e11-dc1d-45cc-b950-d8b5017d3c9f,species,Plantae,"",Boerhavia hualienense,1,t0072874,not-accepted
af29f1de-3312-4bfc-861c-0e6114c559e2,species,Plantae,"",Hylocereus undatus,1,t0058239,not-accepted
3baf98a6-bba9-4fd2-85bf-cf2bb881c905,species,Plantae,"",Cardiandra formosana,1,t0058034,not-accepted
0eda4d4b-593f-4935-8843-2868f3b1283d,species,Plantae,"",Schizophragma integrifolium,1,t0107058,not-accepted
8122b022-1afb-48cc-98d5-5cbf6e33d063,species,Plantae,"",Swida controversa,1,t0069488,not-accepted
65942cd3-678e-40f0-b01c-38022fa3041a,species,Plantae,"",Swida macrophylla,1,t0058315,not-accepted
95be11c3-2cb9-4fbb-8b78-d066fe45e63c,species,Plantae,"",Anneslea lanceolata,1,t0040174,not-accepted
f08d953d-a6f6-417f-9224-f1f5dcc10172,species,Plantae,"",Lucuma nervosa,1,t0054325,not-accepted
