TT_taxonUUID,TT_taxonRank,TT_kingdom,TT_taiCOLNameCode,TT_simplifiedScientificName,TC_rank,TC_kingdom,TC_simple_name,TC_taxon_status,TC_is_in_taiwan
77f4f2f9-df58-420c-9989-729650ea035a,infraspecies,Animalia,t0085549,Cythere lutea lutea omotenipponica,subspecies,Animalia,Cythere lutea omotenipponica,accepted,TRUE
4cd5b696-2453-4ec7-ad2a-e3a71fd7d325,infraspecies,Animalia,t0085550,Cythere lutea lutea uranipponica,subspecies,Animalia,Cythere lutea uranipponica,accepted,TRUE
4d977426-49e3-453c-b5f5-3770bc7b5925,infraspecies,Animalia,t0085636,Ephyrina figueirai figueirai spinicauda,subspecies,Animalia,Ephyrina figueirai spinicauda,accepted,TRUE
563485bf-6e92-4f81-af9f-cd910f1d4083,infraspecies,Animalia,t0086062,Parapontophilus gracilis gracilis junceus,subspecies,Animalia,Parapontophilus gracilis junceus,accepted,TRUE
656b6235-4254-498a-890d-4b825967e93d,infraspecies,Animalia,t0085899,Metapenaeopsis mogiensis mogiensis intermedia,subspecies,Animalia,Metapenaeopsis mogiensis intermedia,accepted,TRUE
6bae5433-d890-4705-93fb-597f4f53516b,infraspecies,Animalia,t0085125,Metapenaeopsis provocatoria provocatoria longirostris,subspecies,Animalia,Metapenaeopsis provocatoria longirostris,accepted,TRUE
95823ffe-c430-4dc9-91d6-ec1e42306639,infraspecies,Animalia,t0086077,Penaeus latisulcatus latisulcatus hathor,subspecies,Animalia,Penaeus latisulcatus hathor,accepted,TRUE
d6dca9ff-465e-48c9-880d-153993842e3e,infraspecies,Animalia,t0086050,Panulirus longipes longipes bispinosus,subspecies,Animalia,Panulirus longipes bispinosus,accepted,TRUE
b18298cf-817f-4096-b802-2fd9fa3c24d5,infraspecies,Animalia,t0086051,Panulirus longipes longipes longipes,subspecies,Animalia,Panulirus longipes longipes,accepted,TRUE
c44c863f-1a0f-46d3-a732-370225532e1b,infraspecies,Animalia,t0085563,Diacyclops crassicaudis crassicaudis taipehensis,subspecies,Animalia,Diacyclops crassicaudis taipehensis,accepted,TRUE
5dfedc44-da6e-44ac-9240-f0708d63bb99,infraspecies,Animalia,t0085871,Macrocyclops albidus albidus oligolasius,subspecies,Animalia,Macrocyclops albidus oligolasius,accepted,TRUE
15d77e6c-ed45-475a-88e3-9c54bcb9dba8,infraspecies,Animalia,t0085894,Mesocyclops leuckarti leuckarti aequatorialis,subspecies,Animalia,Mesocyclops leuckarti aequatorialis,accepted,TRUE
a18f1189-079d-43d4-b42f-0ad75bab8fc5,infraspecies,Animalia,t0085529,Cyclops crassicaudis crassicaudis taipehensis,subspecies,Animalia,Cyclops crassicaudis taipehensis,accepted,TRUE
21d31483-ec22-4c80-b3ee-cfd735e199cd,infraspecies,Animalia,t0085644,Euchirella messinensis messinensis indica,subspecies,Animalia,Euchirella messinensis indica,accepted,TRUE
e56784f1-07f5-40c5-b04e-11f9ff88f97f,infraspecies,Animalia,t0085595,Echinocamptus hiemalis hiemalis elongatus,subspecies,Animalia,Echinocamptus hiemalis elongatus,accepted,TRUE
e7f2fb23-fc42-4408-aead-31c249a7387c,infraspecies,Animalia,t0086365,Tisbe furcata furcata furcata,subspecies,Animalia,Tisbe furcata furcata,accepted,TRUE
665abb63-b487-4c52-a485-c8c17b25d08e,infraspecies,Animalia,t0086342,Tetraclita japonica japonica japonica,subspecies,Animalia,Tetraclita japonica japonica,accepted,TRUE
be993ac7-4676-4844-b3f5-d96898dc5428,infraspecies,Animalia,t0085244,Annandaleum japonicum japonicum biramosum,subspecies,Animalia,Annandaleum japonicum biramosum,accepted,TRUE
b67c285d-3ef6-4027-bdd8-f797e92e2691,infraspecies,Animalia,t0085364,Caligus pagrosomi pagrosomi pagrosomi,subspecies,Animalia,Caligus pagrosomi pagrosomi,accepted,TRUE
16715a4e-963b-46ce-906a-706eb3775028,infraspecies,Animalia,t0085365,Caligus pagrosomi pagrosomi schlegeli,subspecies,Animalia,Caligus pagrosomi schlegeli,accepted,TRUE
78d85d12-6fff-470c-90c8-87f65cf41777,infraspecies,Animalia,t0086268,Spirobolus formosae formosae formosae,subspecies,Animalia,Spirobolus formosae formosae,accepted,TRUE
e36fa10b-1740-4716-8190-5871cb277cd3,infraspecies,Animalia,t0086239,Scolopendra subspinipes subspinipes dehanni,subspecies,Animalia,Scolopendra subspinipes dehanni,accepted,TRUE
e4ae5935-b182-4859-a191-275913f0ce87,infraspecies,Animalia,t0086240,Scolopendra subspinipes subspinipes japonica,subspecies,Animalia,Scolopendra subspinipes japonica,accepted,TRUE
a22e951b-1ad3-46f1-9e04-9126a3101384,infraspecies,Animalia,t0086241,Scolopendra subspinipes subspinipes mutilans,subspecies,Animalia,Scolopendra subspinipes mutilans,accepted,TRUE
ceee261b-8ce9-4b86-adac-e468800d1dd8,infraspecies,Animalia,t0031959,Platybelone argalus argalus platyura,subspecies,Animalia,Platybelone argalus platyura,accepted,TRUE
cb24d801-ac9f-42f4-9f94-ba8042400506,infraspecies,Animalia,t0028422,Tylosurus acus acus melanotus,subspecies,Animalia,Tylosurus acus melanotus,accepted,TRUE
469a9707-edba-4e2c-8660-a7a2158f6469,infraspecies,Animalia,t0028423,Tylosurus crocodilus crocodilus crocodilus,subspecies,Animalia,Tylosurus crocodilus crocodilus,accepted,TRUE
44fe68ac-1508-444f-8fa6-ead5d1a788b5,infraspecies,Animalia,t0030372,Cheilopogon pinnatibarbatus pinnatibarbatus pinnatibarbatus,subspecies,Animalia,Cheilopogon pinnatibarbatus pinnatibarbatus,accepted,TRUE
f02d5c58-d1eb-4c39-babf-9a52501ff624,infraspecies,Animalia,t0031421,Oxyporhamphus micropterus micropterus micropterus,subspecies,Animalia,Oxyporhamphus micropterus micropterus,accepted,TRUE
