taxonUUID,taxonRank,parentUUID,simplifiedScientificName,kingdom,class,TT_URL
67841898-82ff-4570-bc39-24856986647c,genus,e6f6b8a1-71f1-42b5-b2fb-69ddbb6ba55e,Brachyconger,Animalia,Actinopteri,https://vvtaxatree.tbn.org.tw/taxa/67841898-82ff-4570-bc39-24856986647c
459f7cea-0eba-4316-b81a-aa83f848cf90,genus,c880e26a-a785-4ad5-bfb6-e0d220ab36ea,Brachynotus,Animalia,Malacostraca,https://vvtaxatree.tbn.org.tw/taxa/459f7cea-0eba-4316-b81a-aa83f848cf90
49241da3-e734-43ed-b5ad-0ce56e54b372,genus,6f4ea5f6-c7be-4882-a333-7d8994a6e4e4,Breviraja,Animalia,Elasmobranchii,https://vvtaxatree.tbn.org.tw/taxa/49241da3-e734-43ed-b5ad-0ce56e54b372
a617b17e-9958-4308-ab67-47a6f20b77b9,genus,87342e91-0f42-4f6d-ac79-de05cff51908,Briarda,Animalia,Insecta,https://vvtaxatree.tbn.org.tw/taxa/a617b17e-9958-4308-ab67-47a6f20b77b9
f57e6f21-a0fd-46f9-8d6b-f68866fbb242,genus,f1356f8b-4040-4769-ac20-ea8ed7761a60,Brissoides,Animalia,Echinoidea,https://vvtaxatree.tbn.org.tw/taxa/f57e6f21-a0fd-46f9-8d6b-f68866fbb242
22d0d2ad-c6fc-4c72-840a-97995bcd70a3,genus,2583a47c-8d82-4cc1-b3dc-e909dfb43a1e,Brotulina,Animalia,Actinopteri,https://vvtaxatree.tbn.org.tw/taxa/22d0d2ad-c6fc-4c72-840a-97995bcd70a3
a517793d-a9f5-4496-b56d-ad19e5860222,genus,92504495-67e8-42e8-bb76-26cd5b0826f2,Bryophila,Animalia,Insecta,https://vvtaxatree.tbn.org.tw/taxa/a517793d-a9f5-4496-b56d-ad19e5860222
7797d143-6757-412c-910e-5878cc8c4c0d,genus,50583e36-4bb6-46ee-a6a6-ab5b65fbcf10,Bubonoxena,Animalia,Insecta,https://vvtaxatree.tbn.org.tw/taxa/7797d143-6757-412c-910e-5878cc8c4c0d
94c75590-7d06-4d71-a8ef-cf24cbac2cf0,genus,70aaa2a9-85e6-45f0-bdeb-d2e12d0ab732,Bullaea,Animalia,Gastropoda,https://vvtaxatree.tbn.org.tw/taxa/94c75590-7d06-4d71-a8ef-cf24cbac2cf0
2d233472-305b-4817-af6a-e0d7a7fb7329,genus,87342e91-0f42-4f6d-ac79-de05cff51908,Burdria,Animalia,Insecta,https://vvtaxatree.tbn.org.tw/taxa/2d233472-305b-4817-af6a-e0d7a7fb7329
