taxonUUID,taxonRank,parentUUID,kingdom,simplifiedScientificName,nativeness,protectedStatusTW,categoryRedlistTW,categoryIUCN,groupID,reason,check_column,filtered_values,TT_URL
c7f93416-6044-4e58-b2f6-6e3817f58b0c,infraspecies,06790136-4f2d-435d-8321-ba95fdaf2022,Plantae,Lilium longiflorum longiflorum,原生 Native,"","未評估（NE, Not Evaluated）","",06790136-4f2d-435d-8321-ba95fdaf2022,國內紅皮書不同,categoryRedlistTW,";資料缺乏（DD, Data Deficient）;未評估（NE, Not Evaluated）",https://vvtaxatree.tbn.org.tw/taxa/c7f93416-6044-4e58-b2f6-6e3817f58b0c
079ed25c-7249-449c-a83e-25cdd9ce7a7a,species,6bc5e829-3e87-41d2-98a7-d6e5c7428e83,Animalia,Apalone spinifera,"","","","暫無危機（LC, Least Concern）",079ed25c-7249-449c-a83e-25cdd9ce7a7a,保育等級不同,protectedStatusTW,;瀕臨絕種保育類野生動物,https://vvtaxatree.tbn.org.tw/taxa/079ed25c-7249-449c-a83e-25cdd9ce7a7a
c103ec4a-5b9a-4c71-a37b-43385db8c294,infraspecies,079ed25c-7249-449c-a83e-25cdd9ce7a7a,Animalia,Apalone spinifera spinifera atra,"",瀕臨絕種保育類野生動物,"","",079ed25c-7249-449c-a83e-25cdd9ce7a7a,保育等級不同,protectedStatusTW,;瀕臨絕種保育類野生動物,https://vvtaxatree.tbn.org.tw/taxa/c103ec4a-5b9a-4c71-a37b-43385db8c294
0b1b6ec6-58f2-4ea5-956c-b61f5513855b,species,b7828a7b-cbdf-4537-b125-393d3868f46a,Plantae,Cordia aspera,原生 Native,"","","",0b1b6ec6-58f2-4ea5-956c-b61f5513855b,國內紅皮書不同,categoryRedlistTW,";瀕危（EN, Endangered）",https://vvtaxatree.tbn.org.tw/taxa/0b1b6ec6-58f2-4ea5-956c-b61f5513855b
4992c206-cd79-466f-a6b1-05fabc5c2d85,infraspecies,0b1b6ec6-58f2-4ea5-956c-b61f5513855b,Plantae,Cordia aspera kanehirae,原生 Native,"","瀕危（EN, Endangered）","",0b1b6ec6-58f2-4ea5-956c-b61f5513855b,國內紅皮書不同,categoryRedlistTW,";瀕危（EN, Endangered）",https://vvtaxatree.tbn.org.tw/taxa/4992c206-cd79-466f-a6b1-05fabc5c2d85
0e1f2e2a-bc86-41ee-adf8-2510d3456ca2,species,e3756125-ad8c-4ef6-b2e3-87020def08a2,Animalia,Limenitis sulpitia,原生 Native,"","接近受脅（NT, Near Threatened）","",0e1f2e2a-bc86-41ee-adf8-2510d3456ca2,國內紅皮書不同,categoryRedlistTW,"接近受脅（NT, Near Threatened）;",https://vvtaxatree.tbn.org.tw/taxa/0e1f2e2a-bc86-41ee-adf8-2510d3456ca2
0bf5311c-8e88-477e-b02e-24450442ecc9,infraspecies,0e1f2e2a-bc86-41ee-adf8-2510d3456ca2,Animalia,Limenitis sulpitia sulpitia tricula,原生 Native,"","接近受脅（NT, Near Threatened）","",0e1f2e2a-bc86-41ee-adf8-2510d3456ca2,國內紅皮書不同,categoryRedlistTW,"接近受脅（NT, Near Threatened）;",https://vvtaxatree.tbn.org.tw/taxa/0bf5311c-8e88-477e-b02e-24450442ecc9
01922a7a-c364-4a9f-9c1b-8ae7bf10c12f,infraspecies,0e1f2e2a-bc86-41ee-adf8-2510d3456ca2,Animalia,Limenitis sulpitia sulpitia sulpitia,原生 Native,"","","",0e1f2e2a-bc86-41ee-adf8-2510d3456ca2,國內紅皮書不同,categoryRedlistTW,"接近受脅（NT, Near Threatened）;",https://vvtaxatree.tbn.org.tw/taxa/01922a7a-c364-4a9f-9c1b-8ae7bf10c12f
0e3617f5-045d-4a97-9372-17a043d4c7cf,species,9ab41363-a069-47b1-8c04-6a761f80b137,Plantae,Vigna angularis,外來栽培 Cultivated (non-native),"","","",0e3617f5-045d-4a97-9372-17a043d4c7cf,國內紅皮書不同,categoryRedlistTW,";資料缺乏（DD, Data Deficient）",https://vvtaxatree.tbn.org.tw/taxa/0e3617f5-045d-4a97-9372-17a043d4c7cf
875d50ed-3225-4aa9-81a9-ff76548e0d1a,infraspecies,0e3617f5-045d-4a97-9372-17a043d4c7cf,Plantae,Vigna angularis nipponensis,原生 Native,"","資料缺乏（DD, Data Deficient）","",0e3617f5-045d-4a97-9372-17a043d4c7cf,國內紅皮書不同,categoryRedlistTW,";資料缺乏（DD, Data Deficient）",https://vvtaxatree.tbn.org.tw/taxa/875d50ed-3225-4aa9-81a9-ff76548e0d1a
0e3b110e-ec2b-4950-b3e0-ccb4659ca62f,species,4923a6c7-7d50-407e-a8c1-d74540c69387,Plantae,Cephalotaxus harringtonii,原生 Native,"","","",0e3b110e-ec2b-4950-b3e0-ccb4659ca62f,國內紅皮書不同,categoryRedlistTW,";易危（VU, Vulnerable）",https://vvtaxatree.tbn.org.tw/taxa/0e3b110e-ec2b-4950-b3e0-ccb4659ca62f
4eef4412-363d-4772-812b-245c4bff04cf,infraspecies,0e3b110e-ec2b-4950-b3e0-ccb4659ca62f,Plantae,Cephalotaxus harringtonii wilsoniana,原生 Native,"","易危（VU, Vulnerable）","",0e3b110e-ec2b-4950-b3e0-ccb4659ca62f,國內紅皮書不同,categoryRedlistTW,";易危（VU, Vulnerable）",https://vvtaxatree.tbn.org.tw/taxa/4eef4412-363d-4772-812b-245c4bff04cf
0f11f4ca-c4f7-46c0-9c9e-11e58d0d4912,species,24265021-198c-4d5b-be64-b37a8b226bd1,Animalia,Limosa lapponica,原生 Native,"","易危（VU, Vulnerable）","接近受脅（NT, Near Threatened）",0f11f4ca-c4f7-46c0-9c9e-11e58d0d4912,IUCN紅皮書不同,categoryIUCN,"接近受脅（NT, Near Threatened）;",https://vvtaxatree.tbn.org.tw/taxa/0f11f4ca-c4f7-46c0-9c9e-11e58d0d4912
82dcdb31-782c-4dc4-a926-9c53011a355e,infraspecies,0f11f4ca-c4f7-46c0-9c9e-11e58d0d4912,Animalia,Limosa lapponica lapponica baueri,原生 Native,"","易危（VU, Vulnerable）","",0f11f4ca-c4f7-46c0-9c9e-11e58d0d4912,IUCN紅皮書不同,categoryIUCN,"接近受脅（NT, Near Threatened）;",https://vvtaxatree.tbn.org.tw/taxa/82dcdb31-782c-4dc4-a926-9c53011a355e
e19ce850-d71b-4fd8-95cf-15ee3fc6f6b1,infraspecies,0f11f4ca-c4f7-46c0-9c9e-11e58d0d4912,Animalia,Limosa lapponica lapponica menzbieri,原生 Native,"","易危（VU, Vulnerable）","",0f11f4ca-c4f7-46c0-9c9e-11e58d0d4912,IUCN紅皮書不同,categoryIUCN,"接近受脅（NT, Near Threatened）;",https://vvtaxatree.tbn.org.tw/taxa/e19ce850-d71b-4fd8-95cf-15ee3fc6f6b1
0fb91a1c-ded5-47cc-882e-fba220e03c26,species,fa0bc1e9-50c5-4008-aa8c-7e31fc0ca16d,Animalia,Phasianus colchicus,原生 Native,珍貴稀有保育類野生動物,"極危（CR, Critically Endangered）","暫無危機（LC, Least Concern）",0fb91a1c-ded5-47cc-882e-fba220e03c26,保育等級不同,protectedStatusTW,珍貴稀有保育類野生動物;,https://vvtaxatree.tbn.org.tw/taxa/0fb91a1c-ded5-47cc-882e-fba220e03c26
9daa4aa9-c9ed-4ed0-83df-4120e5966cf5,infraspecies,0fb91a1c-ded5-47cc-882e-fba220e03c26,Animalia,Phasianus colchicus colchicus formosanus,原生 Native,珍貴稀有保育類野生動物,"極危（CR, Critically Endangered）","",0fb91a1c-ded5-47cc-882e-fba220e03c26,保育等級不同,protectedStatusTW,珍貴稀有保育類野生動物;,https://vvtaxatree.tbn.org.tw/taxa/9daa4aa9-c9ed-4ed0-83df-4120e5966cf5
da946eff-550a-49ef-9c2d-6cafb480ccb9,infraspecies,0fb91a1c-ded5-47cc-882e-fba220e03c26,Animalia,Phasianus colchicus colchicus karpowi,外來 Non-native,"","","",0fb91a1c-ded5-47cc-882e-fba220e03c26,保育等級不同,protectedStatusTW,珍貴稀有保育類野生動物;,https://vvtaxatree.tbn.org.tw/taxa/da946eff-550a-49ef-9c2d-6cafb480ccb9
a248e169-d506-41c9-8490-88a703fd733a,infraspecies,0fb91a1c-ded5-47cc-882e-fba220e03c26,Animalia,Phasianus colchicus colchicus torquatus,外來 Non-native,"","","",0fb91a1c-ded5-47cc-882e-fba220e03c26,保育等級不同,protectedStatusTW,珍貴稀有保育類野生動物;,https://vvtaxatree.tbn.org.tw/taxa/a248e169-d506-41c9-8490-88a703fd733a
0fb91a1c-ded5-47cc-882e-fba220e03c26,species,fa0bc1e9-50c5-4008-aa8c-7e31fc0ca16d,Animalia,Phasianus colchicus,原生 Native,珍貴稀有保育類野生動物,"極危（CR, Critically Endangered）","暫無危機（LC, Least Concern）",0fb91a1c-ded5-47cc-882e-fba220e03c26,國內紅皮書不同,categoryRedlistTW,"極危（CR, Critically Endangered）;",https://vvtaxatree.tbn.org.tw/taxa/0fb91a1c-ded5-47cc-882e-fba220e03c26
9daa4aa9-c9ed-4ed0-83df-4120e5966cf5,infraspecies,0fb91a1c-ded5-47cc-882e-fba220e03c26,Animalia,Phasianus colchicus colchicus formosanus,原生 Native,珍貴稀有保育類野生動物,"極危（CR, Critically Endangered）","",0fb91a1c-ded5-47cc-882e-fba220e03c26,國內紅皮書不同,categoryRedlistTW,"極危（CR, Critically Endangered）;",https://vvtaxatree.tbn.org.tw/taxa/9daa4aa9-c9ed-4ed0-83df-4120e5966cf5
da946eff-550a-49ef-9c2d-6cafb480ccb9,infraspecies,0fb91a1c-ded5-47cc-882e-fba220e03c26,Animalia,Phasianus colchicus colchicus karpowi,外來 Non-native,"","","",0fb91a1c-ded5-47cc-882e-fba220e03c26,國內紅皮書不同,categoryRedlistTW,"極危（CR, Critically Endangered）;",https://vvtaxatree.tbn.org.tw/taxa/da946eff-550a-49ef-9c2d-6cafb480ccb9
a248e169-d506-41c9-8490-88a703fd733a,infraspecies,0fb91a1c-ded5-47cc-882e-fba220e03c26,Animalia,Phasianus colchicus colchicus torquatus,外來 Non-native,"","","",0fb91a1c-ded5-47cc-882e-fba220e03c26,國內紅皮書不同,categoryRedlistTW,"極危（CR, Critically Endangered）;",https://vvtaxatree.tbn.org.tw/taxa/a248e169-d506-41c9-8490-88a703fd733a
11ac79d8-844c-431d-922b-fda00fa39e52,species,a475dd9a-090b-4be7-8af9-6b705ed25668,Animalia,Otus elegans,原生 Native,珍貴稀有保育類野生動物,"接近受脅（NT, Near Threatened）","接近受脅（NT, Near Threatened）",11ac79d8-844c-431d-922b-fda00fa39e52,IUCN紅皮書不同,categoryIUCN,"接近受脅（NT, Near Threatened）;",https://vvtaxatree.tbn.org.tw/taxa/11ac79d8-844c-431d-922b-fda00fa39e52
4e378931-a9f8-44ce-bfee-d28e9450a62c,infraspecies,11ac79d8-844c-431d-922b-fda00fa39e52,Animalia,Otus elegans elegans botelensis,原生 Native,珍貴稀有保育類野生動物,"接近受脅（NT, Near Threatened）","",11ac79d8-844c-431d-922b-fda00fa39e52,IUCN紅皮書不同,categoryIUCN,"接近受脅（NT, Near Threatened）;",https://vvtaxatree.tbn.org.tw/taxa/4e378931-a9f8-44ce-bfee-d28e9450a62c
1204232c-c761-454b-8b04-6a9b03a8db68,species,fdf6cc8e-0af7-4e47-8065-6da794934d9e,Plantae,Abelia chinensis,原生 Native,"","","",1204232c-c761-454b-8b04-6a9b03a8db68,國內紅皮書不同,categoryRedlistTW,";易危（VU, Vulnerable）",https://vvtaxatree.tbn.org.tw/taxa/1204232c-c761-454b-8b04-6a9b03a8db68
70b44a18-a715-4922-a35a-b726f2b70eff,infraspecies,1204232c-c761-454b-8b04-6a9b03a8db68,Plantae,Abelia chinensis ionandra,原生 Native,"","易危（VU, Vulnerable）","",1204232c-c761-454b-8b04-6a9b03a8db68,國內紅皮書不同,categoryRedlistTW,";易危（VU, Vulnerable）",https://vvtaxatree.tbn.org.tw/taxa/70b44a18-a715-4922-a35a-b726f2b70eff
12058242-9d4b-443f-869c-b1227fd1166a,species,0b853dc6-ca43-4c32-9c8e-17e5f84c0e7d,Animalia,Equus zebra,"","","","易危（VU, Vulnerable）",12058242-9d4b-443f-869c-b1227fd1166a,保育等級不同,protectedStatusTW,;珍貴稀有保育類野生動物,https://vvtaxatree.tbn.org.tw/taxa/12058242-9d4b-443f-869c-b1227fd1166a
413a6272-ae9e-4fbc-951c-6e0f6212908e,infraspecies,12058242-9d4b-443f-869c-b1227fd1166a,Animalia,Equus zebra zebra hartmannae,"",珍貴稀有保育類野生動物,"","",12058242-9d4b-443f-869c-b1227fd1166a,保育等級不同,protectedStatusTW,;珍貴稀有保育類野生動物,https://vvtaxatree.tbn.org.tw/taxa/413a6272-ae9e-4fbc-951c-6e0f6212908e
2493a013-eb42-4ebc-bb86-050970c94fe4,infraspecies,12058242-9d4b-443f-869c-b1227fd1166a,Animalia,Equus zebra zebra zebra,"",珍貴稀有保育類野生動物,"","",12058242-9d4b-443f-869c-b1227fd1166a,保育等級不同,protectedStatusTW,;珍貴稀有保育類野生動物,https://vvtaxatree.tbn.org.tw/taxa/2493a013-eb42-4ebc-bb86-050970c94fe4
12058242-9d4b-443f-869c-b1227fd1166a,species,0b853dc6-ca43-4c32-9c8e-17e5f84c0e7d,Animalia,Equus zebra,"","","","易危（VU, Vulnerable）",12058242-9d4b-443f-869c-b1227fd1166a,IUCN紅皮書不同,categoryIUCN,"易危（VU, Vulnerable）;",https://vvtaxatree.tbn.org.tw/taxa/12058242-9d4b-443f-869c-b1227fd1166a
413a6272-ae9e-4fbc-951c-6e0f6212908e,infraspecies,12058242-9d4b-443f-869c-b1227fd1166a,Animalia,Equus zebra zebra hartmannae,"",珍貴稀有保育類野生動物,"","",12058242-9d4b-443f-869c-b1227fd1166a,IUCN紅皮書不同,categoryIUCN,"易危（VU, Vulnerable）;",https://vvtaxatree.tbn.org.tw/taxa/413a6272-ae9e-4fbc-951c-6e0f6212908e
