taxonUUID,taxonRank,kingdom,taiCOLNameCode,tfNameCode,simplifiedScientificName,scientificName,reason,TT_URL
044fa08e-8a79-4106-a8e8-27303f5e650c,species,Animalia,t0047489,"",Tipula sparsissima,Tipula sparsissima,學名重複,https://vvtaxatree.tbn.org.tw/taxa/044fa08e-8a79-4106-a8e8-27303f5e650c
c1699cda-7131-48f1-83b2-c044b4ec8210,species,Animalia,t0047491,"",Tipula strictiva,Tipula strictiva,學名重複,https://vvtaxatree.tbn.org.tw/taxa/c1699cda-7131-48f1-83b2-c044b4ec8210
aa07089e-8d51-4ac3-a14a-51050a6c0c88,species,Animalia,t0047473,"",Tipula lackschewitziana,Tipula lackschewitziana,學名重複,https://vvtaxatree.tbn.org.tw/taxa/aa07089e-8d51-4ac3-a14a-51050a6c0c88
b964d1fc-3f26-4619-9d60-30aba73c45b7,species,Animalia,t0047470,"",Tipula haplotricha,Tipula haplotricha,學名重複,https://vvtaxatree.tbn.org.tw/taxa/b964d1fc-3f26-4619-9d60-30aba73c45b7
bf109c63-cd6e-4771-92bf-82e7a01af54f,species,Animalia,t0047460,"",Tipula bicornigera,Tipula bicornigera,學名重複,https://vvtaxatree.tbn.org.tw/taxa/bf109c63-cd6e-4771-92bf-82e7a01af54f
bc28da44-1bfe-46b6-b795-fade8c3169ad,species,Animalia,t0047461,"",Tipula bicorunta,Tipula bicorunta,學名重複,https://vvtaxatree.tbn.org.tw/taxa/bc28da44-1bfe-46b6-b795-fade8c3169ad
5375d034-ac32-4188-b8c0-608c63a6544d,species,Animalia,t0047467,"",Tipula foliacea,Tipula foliacea,學名重複,https://vvtaxatree.tbn.org.tw/taxa/5375d034-ac32-4188-b8c0-608c63a6544d
605d45f0-c335-4262-95e0-3f2baf46ab35,species,Animalia,t0047476,"",Tipula nestor,Tipula nestor,學名重複,https://vvtaxatree.tbn.org.tw/taxa/605d45f0-c335-4262-95e0-3f2baf46ab35
4957809f-b1e2-459b-8792-21e56abbd47f,species,Animalia,t0047479,"",Tipula nokonis,Tipula nokonis,學名重複,https://vvtaxatree.tbn.org.tw/taxa/4957809f-b1e2-459b-8792-21e56abbd47f
5716ed72-c9bd-41fd-9b76-91f5aed84717,species,Animalia,t0047483,"",Tipula paravapiculata,Tipula paravapiculata,學名重複,https://vvtaxatree.tbn.org.tw/taxa/5716ed72-c9bd-41fd-9b76-91f5aed84717
ab838d8d-bb7e-4e03-86ea-257cf9968032,species,Animalia,t0047492,"",Tipula subapterogyne,Tipula subapterogyne,學名重複,https://vvtaxatree.tbn.org.tw/taxa/ab838d8d-bb7e-4e03-86ea-257cf9968032
7d2a5e61-10b3-4550-9a8e-e6028b2d2bec,species,Animalia,t0047494,"",Tipula takahashiana,Tipula takahashiana,學名重複,https://vvtaxatree.tbn.org.tw/taxa/7d2a5e61-10b3-4550-9a8e-e6028b2d2bec
00094e04-1f56-4996-87ac-044a2ce33327,species,Animalia,t0047480,"",Tipula nova,Tipula nova,學名重複,https://vvtaxatree.tbn.org.tw/taxa/00094e04-1f56-4996-87ac-044a2ce33327
586a9af8-d977-4a6d-a74c-f7406b2ce65c,species,Animalia,t0047700,"",Trentepholia atayal,Trentepholia atayal,學名重複,https://vvtaxatree.tbn.org.tw/taxa/586a9af8-d977-4a6d-a74c-f7406b2ce65c
d7552884-cfc8-4678-a4dd-751a20e300ae,species,Animalia,t0047701,"",Trentepholia esakii,Trentepholia esakii,學名重複,https://vvtaxatree.tbn.org.tw/taxa/d7552884-cfc8-4678-a4dd-751a20e300ae
e4e65ab8-72a5-46a5-af4b-94a16fdd0646,species,Animalia,t0047703,"",Trentepholia montina,Trentepholia montina,學名重複,https://vvtaxatree.tbn.org.tw/taxa/e4e65ab8-72a5-46a5-af4b-94a16fdd0646
5b3ee620-bc9f-4162-a08e-14f5d429c328,species,Animalia,t0047705,"",Trentepholia platyleuca,Trentepholia platyleuca,學名重複,https://vvtaxatree.tbn.org.tw/taxa/5b3ee620-bc9f-4162-a08e-14f5d429c328
f9d0a4cc-6bbd-40f8-83ef-34d7b7b48e8a,species,Animalia,t0047708,"",Trentepholia tarsalba,Trentepholia tarsalba,學名重複,https://vvtaxatree.tbn.org.tw/taxa/f9d0a4cc-6bbd-40f8-83ef-34d7b7b48e8a
3d111c8d-3642-474d-91d0-42e0495cccda,species,Animalia,t0047702,"",Trentepholia fuscobasalis,Trentepholia fuscobasalis,學名重複,https://vvtaxatree.tbn.org.tw/taxa/3d111c8d-3642-474d-91d0-42e0495cccda
