taxonUUID_x,TF_tfNameCode,分類處理狀態,cattfNameCode,taxonRank_x,nativeness,TF_scientificName,simplifiedScientificName,TF_speciesKey,taxonUUID_y,TT_tfNameCode,taxonRank_y,TT_scientificName,TT_speciesKey
6fddacad-e669-486a-94fb-0daf0526bfe1,C303120303050402050519002000100013002,unresolved name 未決學名,,infraspecies,栽培 Cultivated (non-native),Aechmea ×hybrida 'Array',Aechmea ×hybrida Array,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Poales-Bromeliaceae-Aechmea-×hybrida-Array,885353db-4aa8-4b4f-87e8-1cd9b3006519,C303120303050402050519002000100013002,infraspecies,Aechmea ×hybrida 'Array',Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Poales-Bromeliaceae-Aechmea-×hybrida-'Array'
10b255d2-d5ee-4692-b0d8-6ad2fcb41e7b,C303120303050402060101001000100000000,accepted name 接受名,,genus,境外 Overseas,Pecopteris,Pecopteris,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Incertae classis-Incertae subclassis-Incertae ordo-Incertae familia-Pecopteris,b7d03fe1-5230-4e0c-8c1e-d7bdb5aa8dd4,C303120303050402060101001000100000000,genus,Pecopteris,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Euphyllophytes classis incertae sedis-Euphyllophytes subclassis incertae sedis-Euphyllophytes ordo incertae sedis-Euphyllophytes familia incertae sedis-Pecopteris
42eae697-6a84-4220-aae4-4600e1ce8b24,C303120303050402060101001000100001000,accepted name 接受名,,species,境外 Overseas,Pecopteris cyathea (Schloth.) Brongn.,Pecopteris cyathea,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Incertae classis-Incertae subclassis-Incertae ordo-Incertae familia-Pecopteris-cyathea,6966ef1a-e73a-47a3-ba99-b3f99c3015e6,C303120303050402060101001000100001000,species,Pecopteris cyathea (Schloth.) Brongn.,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Euphyllophytes classis incertae sedis-Euphyllophytes subclassis incertae sedis-Euphyllophytes ordo incertae sedis-Euphyllophytes familia incertae sedis-Pecopteris-cyathea
